segment	time	rtt	rttvar	srtt	rto
1	0.0522463	52.0801	26.0401	52.0801	200
2	0.103649	51.2638	19.7341	51.9781	200
3	0.103967	51.5958	14.8962	51.9303	200
4	0.156039	52.2446	13.0735	51.95	200
5	0.156244	52.4802	11.5056	51.9831	200
6	0.156401	52.3508	10.5774	51.9984	200
7	0.156607	52.5212	9.73951	52.0202	200
8	0.208983	52.7709	9.17771	52.0437	200
9	0.209167	52.9677	8.66186	52.0725	200
10	0.209318	53.0001	8.27515	52.0957	200
11	0.209468	53.1338	7.9133	52.1217	200
12	0.20959	53.106	7.62459	52.1422	200
13	0.211141	54.5743	7.40823	52.1929	200
14	0.21131	54.6185	7.23028	52.2362	200
15	0.211464	54.7377	7.0614	52.2808	200
16	0.261278	52.1747	6.84405	52.2792	200
17	0.261495	52.4003	6.63396	52.2811	200
18	0.262202	52.9676	6.46875	52.2906	200
19	0.262408	53.1484	6.31289	52.3025	200
20	0.26337	53.9866	6.19717	52.3236	200
21	0.263568	54.1762	6.08856	52.3467	200
22	0.268174	58.5482	6.09112	52.4172	200
23	0.268632	59.0691	6.10387	52.4928	200
24	0.269593	59.9036	6.1311	52.57	200
25	0.270006	60.31	6.16462	52.6506	200
26	0.270733	59.4888	6.17757	52.7164	200
27	0.270947	59.701	6.19309	52.7835	200
28	0.271596	60.2028	6.21499	52.8498	200
29	0.27186	60.4597	6.2399	52.9177	200
30	0.272449	60.9324	6.26948	52.9845	200
31	0.27267	61.1343	6.30081	53.0524	200
32	0.313699	52.3152	6.21388	53.0467	200
33	0.314004	52.6281	6.12333	53.0434	200
34	0.317908	56.3112	6.08134	53.0674	200
35	0.318597	56.8923	6.04815	53.0955	200
36	0.320092	57.8395	6.03004	53.1285	200
37	0.321016	58.6747	6.02332	53.167	200
38	0.322272	59.7822	6.03111	53.2105	200
39	0.322605	60.1208	6.04268	53.256	200
40	0.324444	60.0093	6.05156	53.2982	200
41	0.324921	61.4576	6.07791	53.3492	200
42	0.326095	62.2868	6.11195	53.4024	200
43	0.326428	62.6094	6.1488	53.4572	200
44	0.327243	58.964	6.1415	53.4885	200
45	0.327535	59.2398	6.13707	53.5212	200
46	0.328418	59.6746	6.13725	53.5546	200
