time	pps	kbps
0.100305	1	35.232
0.201582	6	211.392
0.301862	24	845.568
0.402257	78	2748.1
0.502472	154	5425.73
0.603102	147	5179.1
0.703226	218	7680.58
0.803478	111	3910.75
0.903577	148	5214.34
1.00453	122	4298.3
1.10514	109	3840.29
1.20522	109	3840.29
1.30534	96	3382.27
1.40544	104	3664.13
1.50554	66	2325.31
1.60628	67	2360.54
1.7064	71	2501.47
1.80682	56	1972.99
1.90697	73	2571.94
2.00708	80	2818.56
2.10721	82	2889.02
2.20829	84	2959.49
2.30859	89	3135.65
2.40874	83	2924.26
2.50893	91	3206.11
2.60906	98	3452.74
2.70924	101	3558.43
2.80936	108	3805.06
2.90965	93	3276.58
3.00987	118	4157.38
3.11025	112	3945.98
3.21033	119	4192.61
3.31053	125	4404
3.41064	123	4333.54
3.51594	96	3382.27
3.61607	62	2184.38
3.71617	59	2078.69
3.81627	89	3135.65
3.91651	62	2184.38
4.01665	64	2254.85
4.11673	75	2642.4
4.21715	72	2536.7
4.31723	46	1620.67
4.41734	72	2536.7
4.51763	56	1972.99
4.61785	43	1514.98
4.71795	50	1761.6
4.81812	54	1902.53
4.91824	63	2219.62
5.01841	51	1796.83
5.11856	66	2325.31
5.21868	69	2431.01
5.31882	77	2712.86
5.41909	74	2607.17
5.51912	79	2783.33
5.61944	80	2818.56
5.71952	79	2783.33
5.82035	88	3100.42
5.92052	95	3347.04
6.02084	88	3100.42
6.12112	98	3452.74
6.22123	48	1691.14
6.32348	107	3769.82
6.42387	78	2748.1
6.52529	41	1444.51
6.62542	48	1691.14
6.72585	56	1972.99
6.82605	53	1867.3
6.92781	57	2008.22
7.02797	71	2501.47
7.12823	81	2853.79
7.2285	43	1514.98
7.32958	56	1972.99
7.42987	46	1620.67
7.53053	26	916.032
7.63365	46	1620.67
7.73381	53	1867.3
7.83442	48	1691.14
7.93467	53	1867.3
8.03507	54	1902.53
8.13533	66	2325.31
8.23546	67	2360.54
8.33571	75	2642.4
8.43665	79	2783.33
8.53678	77	2712.86
8.63699	65	2290.08
8.73746	76	2677.63
8.83771	87	3065.18
8.93796	71	2501.47
9.03805	95	3347.04
9.14335	56	1972.99
9.24869	51	1796.83
9.34928	38	1338.82
9.4501	56	1972.99
9.55036	51	1796.83
9.651	45	1585.44
9.75209	61	2149.15
9.8535	61	2149.15
9.95399	46	1620.67
10.0547	49	1726.37
10.1547	71	2501.47
10.2557	42	1479.74
10.3558	50	1761.6
10.4559	76	2677.63
10.5565	45	1585.44
10.6567	37	1303.58
10.7568	44	1550.21
10.857	57	2008.22
10.9576	61	2149.15
11.0578	64	2254.85
11.1579	69	2431.01
11.258	60	2113.92
11.3583	65	2290.08
11.4584	76	2677.63
11.5588	79	2783.33
11.6588	84	2959.49
11.759	88	3100.42
11.8601	95	3347.04
11.9603	89	3135.65
12.0605	89	3135.65
12.161	100	3523.2
12.261	98	3452.74
12.3612	111	3910.75
12.4618	86	3029.95
12.5622	76	2677.63
12.6628	79	2783.33
12.7634	82	2889.02
12.8636	57	2008.22
12.9638	60	2113.92
13.0641	70	2466.24
13.1643	76	2677.63
13.2644	83	2924.26
13.3654	87	3065.18
13.4659	88	3100.42
13.5664	79	2783.33
13.6667	96	3382.27
13.7668	91	3206.11
13.8669	95	3347.04
13.967	107	3769.82
14.0671	109	3840.29
14.1673	103	3628.9
14.2674	112	3945.98
14.3676	119	4192.61
14.4678	122	4298.3
14.5678	116	4086.91
14.6679	127	4474.46
14.768	129	4544.93
14.8682	131	4615.39
14.9683	141	4967.71
15.0685	144	5073.41
15.1687	143	5038.18
15.2688	145	5108.64
15.3691	142	5002.94
15.4693	142	5002.94
15.5696	153	5390.5
15.6698	159	5601.89
15.7699	166	5848.51
15.87	152	5355.26
15.9701	158	5566.66
16.0702	178	6271.3
16.1706	177	6236.06
16.2708	181	6376.99
16.371	185	6517.92
16.4711	182	6412.22
16.5712	187	6588.38
16.6713	189	6658.85
16.7715	198	6975.94
16.8717	142	5002.94
16.9718	182	6412.22
17.0779	112	3945.98
17.1781	59	2078.69
17.2782	66	2325.31
17.3784	118	4157.38
17.4785	68	2395.78
17.5789	37	1303.58
17.6799	62	2184.38
17.7805	64	2254.85
17.8807	67	2360.54
17.9809	71	2501.47
18.081	79	2783.33
18.1812	68	2395.78
18.2817	75	2642.4
18.3818	66	2325.31
18.4819	85	2994.72
18.5823	91	3206.11
18.6825	92	3241.34
18.7827	95	3347.04
18.8842	95	3347.04
18.9843	97	3417.5
19.0853	104	3664.13
19.1856	103	3628.9
19.2864	110	3875.52
19.3865	116	4086.91
19.488	113	3981.22
19.5881	98	3452.74
19.6882	59	2078.69
19.7884	122	4298.3
19.889	126	4439.23
19.9919	123	4333.54
20.0926	121	4263.07
20.1929	122	4298.3
20.2932	83	2924.26
20.394	91	3206.11
20.4945	82	2889.02
20.5946	69	2431.01
20.695	72	2536.7
20.7951	79	2783.33
20.8955	74	2607.17
20.9956	89	3135.65
21.0964	88	3100.42
21.1965	97	3417.5
21.2974	66	2325.31
21.3975	78	2748.1
21.4979	72	2536.7
21.5985	51	1796.83
21.6996	63	2219.62
21.8009	58	2043.46
21.9013	62	2184.38
22.0014	46	1620.67
22.1015	71	2501.47
22.2017	81	2853.79
22.3018	63	2219.62
22.4019	53	1867.3
22.5159	20	704.64
22.6162	31	1092.19
22.7165	37	1303.58
22.818	35	1233.12
22.9181	45	1585.44
23.0185	52	1832.06
23.1187	44	1550.21
23.2248	34	1197.89
23.3287	30	1056.96
23.4289	61	2149.15
23.5308	45	1585.44
23.6321	33	1162.66
23.7326	40	1409.28
23.8328	33	1162.66
23.9344	49	1726.37
24.0345	53	1867.3
24.1347	48	1691.14
24.2348	51	1796.83
24.3349	56	1972.99
24.435	56	1972.99
24.5354	65	2290.08
24.6356	70	2466.24
24.736	74	2607.17
24.8363	80	2818.56
24.9365	85	2994.72
25.0366	85	2994.72
25.1369	84	2959.49
25.237	84	2959.49
25.3372	88	3100.42
25.4386	49	1726.37
25.5401	39	1374.05
25.6402	57	2008.22
25.7404	55	1937.76
25.8406	61	2149.15
25.9409	55	1937.76
26.041	60	2113.92
26.1411	64	2254.85
26.242	75	2642.4
26.3429	79	2783.33
26.4432	83	2924.26
