time	pps	kbps
0.100756	1	35.232
0.20598	6	211.392
0.311104	22	775.104
0.412715	63	2219.62
0.513684	116	4086.91
0.613808	131	4615.39
0.714095	182	6412.22
0.814174	220	7751.04
0.914292	198	6975.94
1.01436	188	6623.62
1.11504	167	5883.74
1.21523	76	2677.63
1.3153	45	1585.44
1.41547	48	1691.14
1.51558	62	2184.38
1.61572	68	2395.78
1.71583	68	2395.78
1.81596	52	1832.06
1.91607	66	2325.31
2.01627	70	2466.24
2.11726	70	2466.24
2.21741	69	2431.01
2.31833	69	2431.01
2.4186	66	2325.31
2.51873	62	2184.38
2.61887	70	2466.24
2.71916	61	2149.15
2.81928	64	2254.85
2.92087	73	2571.94
3.02104	106	3734.59
3.12147	148	5214.34
3.22174	174	6130.37
3.32189	166	5848.51
3.42202	120	4227.84
3.5222	87	3065.18
3.6226	94	3311.81
3.72281	124	4368.77
3.82296	137	4826.78
3.92306	139	4897.25
4.02378	148	5214.34
4.12388	140	4932.48
4.22408	147	5179.1
4.32428	152	5355.26
4.4244	143	5038.18
4.5245	148	5214.34
4.62476	147	5179.1
4.72491	145	5108.64
4.825	148	5214.34
4.92509	151	5320.03
5.02532	144	5073.41
5.1254	138	4862.02
5.22563	143	5038.18
5.32597	155	5460.96
5.42629	188	6623.62
5.52713	190	6694.08
5.6274	192	6764.54
5.72764	238	8385.22
5.82782	91	3206.11
5.9282	108	3805.06
6.02828	146	5143.87
6.12912	138	4862.02
6.22952	117	4122.14
6.33117	77	2712.86
6.43135	71	2501.47
6.53148	21	739.872
6.63163	55	1937.76
6.73219	76	2677.63
6.83294	78	2748.1
6.93306	73	2571.94
7.03324	81	2853.79
7.13337	71	2501.47
7.23347	66	2325.31
7.33357	75	2642.4
7.4386	37	1303.58
7.53896	40	1409.28
7.63909	31	1092.19
7.7392	39	1374.05
7.83928	38	1338.82
7.93942	41	1444.51
8.03954	32	1127.42
8.13965	42	1479.74
8.24427	39	1374.05
8.34597	42	1479.74
8.44855	42	1479.74
8.54875	42	1479.74
8.64886	33	1162.66
8.74892	34	1197.89
8.84934	43	1514.98
8.94942	54	1902.53
9.04955	64	2254.85
9.14964	119	4192.61
9.25023	162	5707.58
9.35032	182	6412.22
9.45067	169	5954.21
9.55118	166	5848.51
9.65134	151	5320.03
9.75156	190	6694.08
9.85179	90	3170.88
9.95331	51	1796.83
10.0535	56	1972.99
10.1537	67	2360.54
10.2546	67	2360.54
10.3548	60	2113.92
10.455	66	2325.31
10.5551	67	2360.54
10.6552	66	2325.31
10.7553	65	2290.08
10.8554	66	2325.31
10.9565	70	2466.24
11.0569	70	2466.24
11.1571	64	2254.85
11.2572	63	2219.62
11.3576	65	2290.08
11.4578	70	2466.24
11.5581	78	2748.1
11.6585	113	3981.22
11.7586	172	6059.9
11.8591	175	6165.6
11.9592	176	6200.83
12.0596	132	4650.62
12.1597	137	4826.78
12.2604	32	1127.42
12.3605	119	4192.61
12.4606	131	4615.39
12.5607	154	5425.73
12.6663	154	5425.73
12.7676	69	2431.01
12.8681	96	3382.27
12.9682	49	1726.37
13.0683	67	2360.54
13.1714	79	2783.33
13.2723	82	2889.02
13.3724	83	2924.26
13.4732	84	2959.49
13.5775	73	2571.94
13.6778	69	2431.01
13.778	41	1444.51
13.8784	34	1197.89
13.9789	59	2078.69
14.0791	71	2501.47
14.1822	55	1937.76
14.2913	39	1374.05
14.3917	40	1409.28
14.4922	41	1444.51
14.5924	42	1479.74
14.6925	38	1338.82
14.7927	31	1092.19
14.8928	36	1268.35
14.9929	42	1479.74
15.0937	42	1479.74
15.2064	42	1479.74
15.31	42	1479.74
