time	cwndsize
0.0529252	2
0.105041	3
0.105486	4
0.157899	5
0.158225	6
0.160159	7
0.160532	8
0.211259	9
0.21203	10
0.212835	11
0.213124	12
0.21383	13
0.214149	14
0.214875	13
0.215098	14
0.263651	15.1429
0.264723	16.1995
0.266226	17.1871
0.266537	18.1181
0.267429	19.0012
0.267874	19.8432
0.26857	20.6495
0.268921	21.4244
0.269635	22.1712
0.269899	22.8929
0.27044	23.5918
0.270697	24.27
0.271384	24.9292
0.271634	25.571
0.317332	26.1967
0.318011	26.8075
0.319041	27.4043
0.319333	27.9882
0.320375	28.5599
0.320671	29.1201
0.322096	29.6695
0.322396	30.2088
0.323631	30.7385
0.32401	31.259
0.324647	31.7708
0.324919	32.2744
0.325562	32.7702
0.325807	33.2584
0.326357	33.7395
0.32662	34.2137
0.327171	34.6814
0.327414	35.1427
0.32802	35.598
0.328267	36.0475
0.329112	36.4913
0.329358	36.9298
0.329793	37.3631
0.330144	37.7913
0.330677	38.2147
0.370072	38.6334
0.370722	39.0475
0.371676	39.4573
0.372219	39.8628
0.373111	40.2641
0.373457	40.6615
0.374105	41.055
0.374904	41.4447
0.375646	41.8308
0.375908	42.2133
0.377038	42.5923
0.377303	42.968
0.378001	43.3403
0.378287	43.7095
0.379432	44.0756
0.379718	44.4386
0.380469	44.7986
0.380727	45.1558
0.381774	45.5101
0.382031	45.8617
0.382594	46.2105
0.382857	46.5568
0.383395	46.9005
0.383638	47.2416
0.384234	47.5803
0.384488	47.9166
0.385021	48.2505
0.385272	48.5821
0.385493	48.9114
0.385805	49.2385
0.38595	49.5635
0.386195	49.8863
0.386501	50.207
0.38665	50.5257
0.38683	50.8424
0.387187	51.1571
0.38734	51.4698
0.387521	51.7807
0.423091	52.0897
0.423272	52.3969
0.42365	52.7022
0.424469	53.0058
0.424975	53.3077
0.425306	53.6078
0.426158	53.9063
0.426426	54.2031
0.427456	54.4983
0.427967	54.7919
0.428137	55.0839
0.428401	55.3743
0.428776	55.6633
0.429167	55.9507
0.429522	56.2367
0.430225	56.5212
0.43051	56.8043
0.430882	57.086
0.431511	57.3662
0.431643	57.6451
0.431749	57.9227
0.432221	58.1989
0.432444	58.4739
0.432669	58.7475
0.432758	59.0198
0.434177	59.2909
0.434704	59.5608
0.436253	59.8294
0.436805	60.0968
0.437584	60.3631
0.438098	60.6281
0.439891	60.892
0.440142	61.1548
0.440313	61.4164
0.440384	61.677
0.44045	61.9364
0.440514	62.1947
0.440613	62.452
0.440723	62.7082
0.440847	62.9633
0.440972	63.2174
0.441061	63.4705
0.441146	63.7226
0.441863	63.9737
0.443013	64.2238
0.443346	64.4729
0.443474	64.7211
0.444094	64.9683
0.444489	65.2146
0.444669	65.4599
0.444798	65.7043
0.474989	65.9479
0.475372	66.1905
0.476302	66.4322
0.477043	66.673
0.478235	66.913
0.478569	67.1521
0.47871	67.3904
0.480425	67.6278
0.480604	67.8644
0.481191	68.1002
0.482187	68.3351
0.482366	68.5693
0.482859	68.8026
0.483254	69.0352
0.484321	69.2669
0.484801	69.4979
0.485007	69.7281
0.485553	69.9576
0.485938	70.1863
0.486443	70.4143
0.486583	70.6415
0.487554	70.868
0.488256	71.0938
0.488602	71.3188
0.488915	71.5432
0.489651	71.7668
0.490032	71.9898
0.490194	72.212
0.490783	72.4336
0.491161	72.6545
