segment	time	rtt	rttvar	srtt	rto
1	0.0529866	52.5716	26.2858	52.5716	200
2	0.105101	51.7854	19.9109	52.4733	200
3	0.105517	52.1745	15.0079	52.4359	200
4	0.157946	52.7332	13.169	52.4545	200
5	0.158246	53.0358	11.5956	52.4909	200
6	0.160197	54.5936	10.8045	52.5785	200
7	0.160555	54.9381	10.1008	52.6768	200
8	0.211523	53.2636	9.50615	52.6951	200
9	0.212055	54.0152	8.99452	52.7364	200
10	0.212862	54.5559	8.63577	52.7819	200
11	0.213145	54.8418	8.30698	52.8334	200
12	0.213857	53.5854	7.99219	52.849	200
13	0.214174	53.881	7.70218	52.8705	200
14	0.214902	54.2814	7.47749	52.8957	200
15	0.215117	54.4842	7.23212	52.9288	200
16	0.264051	51.9409	7.00911	52.9112	200
17	0.264748	52.9145	6.75891	52.9112	200
18	0.266259	54.1364	6.58598	52.9304	200
19	0.26656	54.4288	6.42699	52.9538	200
20	0.26746	54.5326	6.29232	52.9757	200
21	0.267912	54.9585	6.17261	53.0033	200
22	0.268599	55.3937	6.06755	53.0365	200
23	0.268944	55.7323	5.98326	53.0702	200
24	0.269664	55.7414	5.90046	53.1035	200
25	0.269918	55.9915	5.83199	53.1364	200
26	0.270467	56.2343	5.76985	53.1716	200
27	0.270716	56.4634	5.71354	53.209	200
28	0.27141	56.2334	5.65751	53.2405	200
29	0.271652	56.4702	5.60693	53.2741	200
30	0.317379	53.1107	5.49353	53.2724	200
31	0.318036	53.7697	5.39744	53.2772	200
32	0.319071	54.2523	5.3124	53.2866	200
33	0.319353	54.5261	5.23407	53.2985	200
34	0.320407	54.0772	5.14839	53.306	200
35	0.320694	54.3555	5.0752	53.3154	200
36	0.322129	55.5041	5.02366	53.3349	200
37	0.322417	55.7901	4.97779	53.3568	200
38	0.323673	56.1335	4.9411	53.38	200
39	0.324043	56.4948	4.91067	53.4059	200
40	0.324677	56.6945	4.88363	53.4333	200
41	0.32494	56.284	4.84975	53.4571	200
42	0.325588	56.9089	4.82791	53.484	200
43	0.325826	56.8317	4.80478	53.5102	200
44	0.32638	57.368	4.78998	53.5403	200
45	0.326639	56.9207	4.76796	53.5667	200
46	0.327196	57.4598	4.75509	53.5954	200
47	0.327432	57.4693	4.74213	53.6239	200
48	0.328048	57.5229	4.72973	53.6525	200
49	0.328285	57.755	4.72051	53.6827	200
50	0.329138	58.3703	4.72005	53.7152	200
51	0.329376	58.6031	4.72238	53.7492	200
52	0.329818	58.347	4.72065	53.7811	200
53	0.330167	58.4645	4.72014	53.8136	200
54	0.3307	58.9863	4.72642	53.8496	200
55	0.370119	52.6435	4.6801	53.8416	200
56	0.370746	53.2734	4.626	53.8379	200
57	0.371907	53.6022	4.56823	53.8363	200
58	0.372248	53.1122	4.51765	53.8316	200
59	0.373145	53.9908	4.4603	53.8326	200
60	0.373483	54.0701	4.40752	53.8341	200
61	0.374144	53.6617	4.35458	53.833	200
62	0.374932	54.4468	4.30782	53.8369	200
63	0.375675	54.9216	4.26753	53.8436	200
64	0.375931	55.1648	4.2307	53.8519	200
65	0.377069	54.8721	4.19248	53.858	200
66	0.377321	54.8559	4.15445	53.8639	200
67	0.378032	55.5375	4.12491	53.8739	200
68	0.378306	54.5714	4.08411	53.878	200
69	0.379462	55.3571	4.0531	53.8868	200
70	0.379732	55.6297	4.02685	53.8967	200
71	0.380498	55.7582	4.00224	53.9073	200
72	0.380751	55.7573	3.97778	53.9178	200
73	0.381803	56.7846	3.96516	53.9341	200
74	0.38205	56.4117	3.94825	53.9482	200
75	0.38262	56.7409	3.93512	53.9641	200
76	0.382876	56.9892	3.92523	53.9805	200
77	0.383419	56.9837	3.91521	53.9968	200
78	0.383656	56.9712	3.90498	54.013	200
79	0.384262	57.5559	3.90105	54.0322	200
80	0.384509	57.2608	3.89374	54.0498	200
81	0.385053	57.5619	3.88959	54.0689	200
