segment	time	rtt	rttvar	srtt	rto
1	0.10306	102.997	51.4985	102.997	308.991
2	0.205697	102.547	38.7364	102.941	257.886
3	0.205828	102.663	29.1218	102.906	219.393
4	0.309732	103.944	25.6113	102.971	205.416
5	0.309946	104.146	22.5568	103.044	200
6	0.31012	104.261	20.7784	103.095	200
7	0.310193	104.32	19.149	103.146	200
8	0.414884	105.022	18.0694	103.205	200
9	0.415024	105.138	17.0609	103.265	200
10	0.415097	105.022	16.2957	103.309	200
11	0.415169	105.083	15.5696	103.353	200
12	0.415233	105.076	14.9927	103.389	200
13	0.4153	105.13	14.4405	103.425	200
14	0.415364	105.142	13.9861	103.456	200
15	0.415424	105.191	13.5486	103.487	200
16	0.521677	106.674	13.2247	103.537	200
17	0.52208	107.085	12.9224	103.592	200
18	0.522167	107.105	12.661	103.641	200
19	0.52223	107.159	12.407	103.69	200
20	0.522294	107.168	12.1838	103.733	200
21	0.522357	107.219	11.9663	103.777	200
22	0.522418	107.221	11.7726	103.816	200
23	0.522482	107.273	11.5836	103.855	200
24	0.522546	107.286	11.4138	103.891	200
25	0.522605	107.329	11.2476	103.927	200
26	0.522666	107.336	11.0969	103.96	200
27	0.522731	107.392	10.9495	103.993	200
28	0.522795	107.403	10.8148	104.023	200
29	0.52286	107.459	10.683	104.054	200
30	0.52292	107.47	10.5619	104.082	200
31	0.526281	110.819	10.4982	104.139	200
32	0.629686	107.835	10.3919	104.167	200
33	0.631363	109.471	10.3124	104.209	200
34	0.632521	110.4	10.2518	104.254	200
35	0.632804	110.665	10.1953	104.301	200
36	0.633441	111.245	10.1501	104.35	200
37	0.6337	111.495	10.1084	104.399	200
38	0.634347	112.087	10.0765	104.45	200
39	0.634604	112.335	10.0477	104.502	200
40	0.635237	112.916	10.0273	104.554	200
41	0.635496	113.164	10.0096	104.608	200
42	0.636101	113.718	9.99884	104.662	200
43	0.636332	113.939	9.99024	104.718	200
44	0.636909	114.465	9.98748	104.773	200
45	0.637062	114.608	9.98575	104.829	200
46	0.63765	115.142	9.9893	104.885	200
47	0.637888	115.369	9.99468	104.942	200
48	0.638467	115.894	10.0047	104.999	200
49	0.638697	116.117	10.0163	105.057	200
50	0.639274	116.643	10.0319	105.115	200
51	0.639505	116.864	10.0491	105.174	200
52	0.640096	117.4	10.0701	105.232	200
53	0.640335	117.629	10.0924	105.292	200
54	0.64093	118.172	10.1182	105.352	200
55	0.641105	118.337	10.1448	105.412	200
56	0.64238	119.557	10.1805	105.475	200
57	0.642659	119.826	10.2177	105.539	200
58	0.643541	120.655	10.26	105.604	200
59	0.643855	120.961	10.3039	105.67	200
60	0.644506	121.56	10.3505	105.736	200
64	0.735475	105.291	10.2651	105.734	200
65	0.73647	106.173	10.1773	105.736	200
66	0.736869	105.345	10.09	105.735	200
67	0.737513	105.872	9.9978	105.735	200
68	0.738044	105.451	9.90787	105.734	200
69	0.738557	105.952	9.81469	105.735	200
70	0.738933	106.084	9.72368	105.737	200
71	0.739558	106.694	9.63601	105.742	200
72	0.739816	106.318	9.54541	105.744	200
73	0.740044	106.536	9.45423	105.749	200
74	0.740241	106.495	9.36352	105.752	200
75	0.741046	107.287	9.28197	105.76	200
76	0.741955	107.554	9.20397	105.77	200
77	0.742967	108.552	9.13708	105.784	200
78	0.743634	108.988	9.07527	105.801	200
79	0.744771	110.114	9.02567	105.823	200
80	0.746079	110.78	8.98328	105.849	200
81	0.747281	111.973	8.95349	105.881	200
82	0.748272	112.737	8.93164	105.917	200
83	0.74931	113.764	8.92034	105.958	200
84	0.749732	113.581	8.90684	105.997	200
85	0.750341	114.181	8.8993	106.04	200
86	0.750607	114.237	8.89198	106.083	200
87	0.751237	114.855	8.89074	106.128	200
88	0.751629	114.675	8.88715	106.173	200
89	0.752418	115.464	8.89136	106.221	200
90	0.752862	115.756	8.89806	106.271	200
91	0.75343	116.316	8.91	106.323	200
92	0.753946	116.243	8.92052	106.375	200
93	0.759313	121.601	8.9862	106.454	200
94	0.759872	121.945	9.05396	106.535	200
95	0.760715	122.775	9.12882	106.62	200
96	0.761367	122.852	9.20281	106.704	200
97	0.762754	124.23	9.28951	106.795	200
98	0.764318	125.579	9.3884	106.893	200
99	0.766004	127.253	9.50269	106.999	200
100	0.768073	128.748	9.63025	107.112	200
101	0.770561	131.226	9.78112	107.238	200
102	0.770981	131.437	9.9313	107.364	200
103	0.771984	132.431	10.089	107.495	200
104	0.772393	132.244	10.2417	107.624	200
105	0.773343	133.184	10.4012	107.757	200
106	0.77379	133.415	10.5602	107.89	200
108	0.774425	133.448	10.7164	108.023	200
109	0.774662	133.677	10.872	108.157	200
116	0.775074	131.459	11.0015	108.278	200
122	0.846394	104.385	10.9274	108.258	200
123	0.847058	104.014	10.8578	108.236	200
124	0.847287	103.58	10.7932	108.212	200
125	0.848496	103.64	10.7284	108.188	200
126	0.848981	102.77	10.6731	108.16	200
127	0.84987	102.363	10.6223	108.13	200
128	0.850847	102.496	10.5703	108.1	200
129	0.851633	102.238	10.5213	108.07	200
130	0.851921	102.138	10.4735	108.039	200
131	0.853066	102.675	10.4096	108.005	200
132	0.853273	102.616	10.3435	107.97	200
133	0.853428	102.127	10.2873	107.933	200
134	0.85416	102.471	10.227	107.899	200
135	0.854428	101.937	10.1736	107.862	200
136	0.854885	101.962	10.1202	107.825	200
137	0.858059	104.544	10.0347	107.805	200
138	0.860655	106.144	9.93006	107.794	200
139	0.861871	102.448	9.87275	107.761	200
140	0.862525	102.586	9.81403	107.728	200
141	0.863849	103.01	9.75034	107.699	200
142	0.864675	103.233	9.68428	107.671	200
143	0.870514	106.752	9.57471	107.665	200
144	0.871035	106.637	9.46788	107.659	200
145	0.871689	105.337	9.37855	107.644	200
146	0.872091	103.722	9.31035	107.62	200
147	0.872577	101.883	9.26567	107.584	200
148	0.872968	101.706	9.22333	107.547	200
149	0.874697	102.634	9.16945	107.516	200
150	0.875609	103.151	9.10941	107.489	200
151	0.876477	103.046	9.05108	107.461	200
152	0.876807	102.969	8.99409	107.433	200
153	0.877556	103.083	8.93604	107.406	200
154	0.877807	103.112	8.87802	107.379	200
155	0.878165	103.053	8.82113	107.352	200
156	0.946011	103.046	8.76469	107.325	200
157	0.94641	102.74	8.71245	107.297	200
158	0.947385	102.25	8.66663	107.265	200
159	0.948291	101.829	8.62625	107.231	200
160	0.948686	101.573	8.58915	107.196	200
161	0.949202	101.87	8.54836	107.163	200
162	0.950431	101.852	8.50789	107.129	200
163	0.950591	101.55	8.47129	107.094	200
164	0.951915	101.947	8.42974	107.062	200
165	0.952538	101.629	8.39229	107.028	200
166	0.955925	104.241	8.32222	107.011	200
167	0.95632	104.363	8.25129	106.994	200
168	0.965142	101.889	8.21197	106.962	200
169	0.966765	102.863	8.16056	106.937	200
170	0.967252	102.489	8.11415	106.909	200
171	0.972882	102.104	8.07279	106.879	200
172	0.974131	103.056	8.01967	106.855	200
173	0.974967	103.232	7.96472	106.832	200
174	0.975707	103.574	7.90589	106.812	200
175	0.976752	104.116	7.84077	106.795	200
176	0.977136	104.112	7.77631	106.778	200
177	0.977976	103.205	7.72377	106.756	200
178	0.978551	102.848	7.67608	106.732	200
179	0.979515	102.964	7.62723	106.708	200
