time	cwndsize
0.104643	2
0.207367	3
0.207812	4
0.310255	5
0.312081	6
0.312375	7
0.312639	8
0.414823	9
0.415182	10
0.415297	11
0.415404	12
0.415492	13
0.415598	14
0.415691	15
0.415778	16
0.517224	17
0.517836	18
0.518627	19
0.520022	20
0.520135	21
0.520201	22
0.520269	23
0.522227	24
0.522353	25
0.522418	26
0.52248	27
0.522544	28
0.522603	29
0.522667	30
0.522766	31
0.522822	32
0.6196	33
0.62157	34
0.621817	35
0.621907	36
0.62367	37
0.624026	38
0.62467	39
0.625089	40
0.626433	41
0.626986	42
0.627692	43
0.628062	44
0.628687	45
0.628964	46
0.629546	47
0.629779	48
0.630436	49
0.630989	50
0.631985	51
0.632492	52
0.633172	53
0.633413	54
0.634963	55
0.635264	56
0.635701	57
0.636	58
0.637841	59
0.638169	60
0.638822	61
0.639103	62
0.639713	63
0.63998	64
0.723234	65
0.723844	66
0.724816	67
0.725182	68
0.725953	69
0.72628	70
0.727172	71
0.727513	72
0.728507	73
0.729959	74
0.731652	75
0.732188	76
0.733059	77
0.733484	78
0.734526	79
0.734828	80
0.735769	81
0.736184	82
0.738155	83
0.738656	84
0.739876	85
0.740325	86
0.741726	87
0.742194	88
0.743212	89
0.743671	90
0.744271	91
0.744548	92
0.745367	93
0.745648	94
0.74632	95
0.746599	96
0.747437	97
0.747792	98
0.74848	99
0.748778	100
0.749406	101
0.749689	102
0.750418	103
0.750721	104
0.751385	105
0.751652	106
0.752258	107
0.752527	108
0.753249	109
0.753541	110
0.754154	111
0.754411	112
0.755002	113
0.755259	114
0.755848	115
0.756085	116
0.756631	117
0.827421	118
0.828206	119
0.829508	120
0.830231	121
0.831311	122
0.831759	123
0.832949	124
0.833498	125
0.83539	126
0.835904	127
0.839475	63.5
0.840214	63.5159
0.841017	63.5317
0.841861	63.5476
0.842247	63.5635
0.842599	63.5794
0.842917	63.5952
0.843231	63.6111
0.843459	63.627
0.844197	63.6429
0.844634	63.6587
0.845245	63.6746
0.845644	63.6905
0.845989	63.7063
0.846284	63.7222
0.846586	63.7381
0.847443	63.754
0.847957	63.7698
0.848369	63.7857
0.848607	63.8016
0.849177	63.8175
0.861657	63.8333
0.862057	63.8492
0.862381	63.8651
0.862867	63.881
0.863293	63.8968
0.863775	63.9127
0.864164	63.9286
0.864502	63.9444
0.865092	63.9603
0.86569	63.9762
0.866134	63.9921
0.867978	64.0079
0.868525	64.0236
0.869146	64.0392
0.869478	64.0548
0.870734	64.0704
0.871519	64.0861
0.871958	64.1017
0.872243	64.1173
0.87256	64.1329
0.873645	64.1486
0.875097	64.1642
0.87698	64.1798
0.878534	64.1954
0.879803	64.2111
0.881669	64.2267
0.881958	64.2423
0.932206	64.2579
