time	cwndsize
0.0530173	2
0.105107	3
0.105497	4
0.157818	5
0.158198	6
0.159025	7
0.159277	8
0.210484	9
0.21082	10
0.212273	11
0.212384	12
0.212449	13
0.212512	14
0.212583	15
0.212645	16
0.263016	17
0.263139	18
0.264114	19
0.26438	20
0.265682	21
0.265956	22
0.266766	23
0.267031	24
0.267781	25
0.268025	26
0.268633	27
0.268851	28
0.269388	29
0.269609	30
0.270176	31
0.270399	32
0.314923	33
0.3157	34
0.317107	35
0.317337	36
0.318289	37
0.318566	38
0.319642	39
0.31992	40
0.320773	41
0.321064	42
0.323482	43
0.323755	44
0.324408	45
0.324694	46
0.325315	47
0.325571	48
0.326216	49
0.326464	50
0.327077	51
0.327318	52
0.327909	53
0.328144	54
0.32873	55
0.32896	56
0.329424	57
0.329669	58
0.330255	59
0.330495	60
0.331073	61
0.331309	62
0.331893	63
0.332183	64
0.368406	65
0.368916	66
0.369542	67
0.369853	68
0.370824	69
0.371283	70
0.372094	71
0.372449	72
0.373277	73
0.373535	74
0.374342	75
0.374598	76
0.375691	77
0.375953	78
0.376781	79
0.37704	80
0.378756	81
0.379022	82
0.380449	83
0.380971	84
0.382045	85
0.382435	86
0.383866	87
0.384257	88
0.385376	89
0.385754	90
0.386624	91
0.386983	92
0.38783	93
0.388291	94
0.389141	95
0.390165	96
0.390834	97
0.391111	98
0.391711	99
0.391963	100
0.392616	101
0.392875	102
0.393471	103
0.39373	104
0.394322	105
0.394575	106
0.395165	107
0.395416	108
0.396004	109
0.396289	110
0.396882	111
0.397097	112
0.397716	113
0.398111	114
0.398733	115
0.420337	116
0.421097	117
0.421591	118
0.422768	119
0.423661	120
0.424125	121
0.425121	122
0.42537	123
0.42606	124
0.426462	125
0.42752	126
0.428137	127
0.428829	128
0.429124	129
0.430611	130
0.431021	131
0.431731	132
0.432154	133
0.432816	134
0.433226	135
0.43392	136
0.434253	137
0.434849	138
0.435114	139
0.435796	140
0.436048	141
0.436808	142
0.43707	143
0.437962	144
0.438224	145
0.439073	146
0.439342	147
0.440349	148
0.440621	149
0.441563	150
0.441845	151
0.44308	152
0.443361	153
0.444198	154
0.444473	155
0.445572	156
0.445855	157
0.446809	158
0.447101	159
0.448302	160
0.448588	161
0.450012	162
0.450293	163
0.45188	164
0.452207	165
0.452938	166
0.45319	167
0.453803	168
0.454085	169
0.454751	170
0.455029	171
0.455651	172
0.455924	173
0.45654	174
0.456826	175
0.457443	176
0.457721	177
0.458363	178
0.458639	179
0.459299	180
0.459576	181
0.460113	182
0.460387	183
0.46101	184
0.461285	185
0.462654	186
0.462939	187
0.463547	188
0.463815	189
0.464421	190
0.464688	191
0.465334	192
0.472049	193
0.472537	194
0.473203	195
0.473472	196
0.474372	197
0.474768	198
0.475982	199
0.476973	200
0.477687	201
0.477936	202
0.479159	203
0.479496	204
0.48045	205
0.481034	206
0.481648	207
0.481972	208
0.482744	209
0.483212	210
0.484418	211
0.484852	212
0.485861	213
0.486233	214
0.487059	215
0.487511	216
0.489276	217
0.489714	218
0.490434	219
0.490776	220
0.491778	221
0.492336	222
0.492977	223
0.493401	224
0.494447	225
0.494824	226
0.495582	227
0.496087	228
0.496953	229
0.497552	230
0.49818	231
0.49866	232
0.499688	233
0.500034	234
0.500903	235
0.501227	236
0.503121	237
0.50341	238
0.504427	239
0.50475	240
0.505898	241
0.506226	242
0.507847	243
0.508192	244
0.509384	245
0.509728	246
0.511107	247
0.511468	248
0.512265	249
0.512641	250
0.513641	251
0.513983	252
0.515232	253
0.515573	254
0.516515	255
0.516854	256
0.518205	257
0.51855	258
0.519197	259
0.519506	260
0.520151	261
0.520969	262
0.521671	263
0.522039	264
0.522809	265
0.523171	266
0.524012	267
0.524398	268
0.525183	269
0.525533	270
0.526757	271
0.527148	272
0.528097	273
0.528989	274
0.52984	275
0.53034	276
0.531163	277
0.531711	278
0.532589	279
0.53293	223.2
0.533174	223.207
0.533806	223.215
0.534858	223.222
0.535109	223.23
0.535365	223.238
0.535895	223.245
0.536437	223.253
0.536792	223.26
0.536996	223.268
0.537149	223.276
0.537338	223.283
0.537555	223.291
0.537869	223.299
0.538139	223.306
0.538519	223.314
0.538765	223.322
0.539164	223.329
0.539744	223.337
0.539997	223.345
0.54022	223.353
0.540391	223.36
0.540616	223.368
0.540992	223.376
0.541348	223.384
0.541856	223.391
0.542149	223.399
0.542578	223.407
0.543021	223.415
0.543916	223.423
0.544149	223.431
0.544398	223.439
0.544544	223.447
0.54489	223.455
0.545113	223.463
0.545522	223.47
0.545814	223.478
0.546238	223.486
0.546608	223.494
0.546851	223.502
0.547079	223.51
0.54732	223.518
0.547737	223.526
0.548096	223.534
0.548486	223.542
0.549027	223.551
0.549591	223.559
0.549904	223.567
0.550541	223.575
0.550957	223.583
0.551699	223.592
0.552643	223.6
0.553477	223.608
0.553958	223.617
0.554457	223.625
0.554874	223.634
0.555733	223.643
0.556414	223.651
0.556907	223.66
0.557169	223.669
0.558539	223.677
0.559083	223.686
0.55943	223.695
0.559945	223.704
0.560714	223.713
0.561192	223.722
0.561711	223.731
0.562259	223.74
0.563267	223.75
0.563886	223.759
0.564616	223.768
0.565076	223.777
0.565458	223.787
0.566104	223.796
0.567514	223.806
0.568768	223.815
0.570712	223.825
0.571357	223.835
0.572193	223.845
0.573981	223.855
0.575188	223.866
0.575999	223.876
0.577035	223.887
0.577364	223.897
0.578122	223.908
0.578929	223.918
0.579713	223.929
0.580197	223.94
0.581023	223.95
0.581623	223.961
0.582313	223.972
