time	pps	kbps
0.100272	2	70.464
0.20047	12	422.784
0.302079	48	1691.14
0.403057	166	5848.51
0.503438	246	8667.07
0.604194	336	11838
0.705059	324	11415.2
0.805193	320	11274.2
0.905371	358	12613.1
1.0055	374	13176.8
1.10557	384	13529.1
1.20581	358	12613.1
1.30596	338	11908.4
1.4067	362	12754
1.50679	380	13388.2
1.60689	370	13035.8
1.70706	346	12190.3
1.80713	356	12542.6
1.90722	356	12542.6
2.00739	362	12754
2.10743	366	12894.9
2.20782	368	12965.4
2.30828	382	13458.6
2.40838	366	12894.9
2.50855	354	12472.1
2.60881	366	12894.9
2.7092	306	10781
2.8095	324	11415.2
2.90958	330	11626.6
3.0101	328	11556.1
3.11023	340	11978.9
3.2103	340	11978.9
3.31044	342	12049.3
3.41062	340	11978.9
3.51081	330	11626.6
3.61101	340	11978.9
3.7111	342	12049.3
3.81185	352	12401.7
3.91207	346	12190.3
4.01213	362	12754
4.11254	354	12472.1
4.21266	366	12894.9
4.31269	312	10992.4
4.41276	348	12260.7
4.51284	340	11978.9
4.61289	354	12472.1
4.71304	362	12754
4.81317	352	12401.7
4.91386	356	12542.6
5.01399	360	12683.5
5.11402	368	12965.4
5.21405	344	12119.8
5.31481	370	13035.8
5.41494	354	12472.1
5.51537	360	12683.5
5.61567	350	12331.2
5.71584	360	12683.5
5.81595	360	12683.5
5.91609	376	13247.2
6.01615	356	12542.6
6.11623	362	12754
6.21628	344	12119.8
6.31636	364	12824.4
6.41644	362	12754
6.51658	370	13035.8
6.61668	356	12542.6
6.71712	358	12613.1
6.81725	366	12894.9
6.91766	366	12894.9
7.01775	364	12824.4
7.11781	90	3170.88
7.21796	92	3241.34
7.31798	168	5918.98
7.41804	232	8173.82
7.51813	252	8878.46
7.6187	260	9160.32
7.71887	258	9089.86
7.81891	252	8878.46
7.91922	246	8667.07
8.01937	256	9019.39
8.11969	248	8737.54
8.22064	260	9160.32
8.32075	256	9019.39
8.42093	266	9371.71
8.52102	270	9512.64
8.622	280	9864.96
8.72216	270	9512.64
8.82229	268	9442.18
8.9224	268	9442.18
9.02271	260	9160.32
9.12308	246	8667.07
9.22345	266	9371.71
9.32348	258	9089.86
9.42357	268	9442.18
9.5237	278	9794.5
9.62405	282	9935.42
9.72409	276	9724.03
9.825	274	9653.57
9.926	266	9371.71
10.0271	276	9724.03
10.1284	266	9371.71
10.2286	274	9653.57
10.3291	280	9864.96
10.4293	274	9653.57
10.5298	272	9583.1
10.6306	276	9724.03
10.7307	278	9794.5
10.8309	274	9653.57
10.9318	286	10076.4
11.0319	280	9864.96
11.1321	276	9724.03
11.2324	268	9442.18
11.3326	266	9371.71
11.4327	266	9371.71
11.5327	280	9864.96
11.6328	288	10146.8
11.7332	278	9794.5
11.8333	278	9794.5
11.9335	286	10076.4
12.0337	276	9724.03
12.1338	288	10146.8
12.2339	286	10076.4
12.335	290	10217.3
12.4352	292	10287.7
12.5355	288	10146.8
12.6358	296	10428.7
12.7358	278	9794.5
12.8359	296	10428.7
12.9367	308	10851.5
13.0368	298	10499.1
13.1368	326	11485.6
13.2369	312	10992.4
13.3371	314	11062.8
13.4379	308	10851.5
13.5381	330	11626.6
13.6383	288	10146.8
13.7384	342	12049.3
13.8391	348	12260.7
13.9393	364	12824.4
14.0396	352	12401.7
14.1397	354	12472.1
14.2398	374	13176.8
14.3399	380	13388.2
14.4401	374	13176.8
14.5401	380	13388.2
14.6402	378	13317.7
14.7404	390	13740.5
14.8405	308	10851.5
14.9407	384	13529.1
15.0407	340	11978.9
15.1409	358	12613.1
15.241	378	13317.7
15.3413	320	11274.2
15.4414	344	12119.8
15.5415	298	10499.1
15.6416	318	11203.8
15.7418	278	9794.5
15.8419	304	10710.5
15.942	254	8948.93
16.0422	262	9230.78
16.1425	240	8455.68
16.243	262	9230.78
16.3432	252	8878.46
16.4434	274	9653.57
16.544	258	9089.86
16.6441	274	9653.57
16.7442	284	10005.9
16.8445	264	9301.25
16.9447	272	9583.1
17.0452	264	9301.25
17.1453	280	9864.96
17.2458	298	10499.1
17.346	276	9724.03
17.4461	286	10076.4
17.5462	294	10358.2
17.6463	290	10217.3
17.7465	248	8737.54
17.8465	256	9019.39
17.9466	270	9512.64
18.0474	276	9724.03
18.1477	278	9794.5
18.2478	284	10005.9
18.3479	212	7469.18
18.448	240	8455.68
18.548	284	10005.9
