time	cwndsize
0.102342	2
0.204436	3
0.204909	4
0.30626	5
0.306577	6
0.306853	7
0.307598	8
0.410162	9
0.4104	10
0.41061	11
0.411213	12
0.411581	13
0.4119	14
0.412154	13
0.412451	14
0.515606	15.1429
0.515988	16.1995
0.516248	17.1871
0.516654	18.1181
0.517049	19.0012
0.517273	19.8432
0.517514	20.6495
0.517832	21.4244
0.518201	22.1712
0.518426	22.8929
0.518736	23.5918
0.519033	24.27
0.519557	24.9292
0.519803	25.571
0.621319	26.1967
0.621451	26.8075
0.621555	27.4043
0.62174	27.9882
0.621892	28.5599
0.621992	29.1201
0.622105	29.6695
0.622209	30.2088
0.622357	30.7385
0.622543	31.259
0.622647	31.7708
0.622716	32.2744
0.622888	32.7702
0.623039	33.2584
0.623141	33.7395
0.623256	34.2137
0.62336	34.6814
0.623465	35.1427
0.623621	35.598
0.623809	36.0475
0.623913	36.4913
0.623991	36.9298
0.624193	37.3631
0.624294	37.7913
0.624519	38.2147
0.732787	38.6334
0.733018	39.0475
0.73328	39.4573
0.73344	39.8628
0.733722	40.2641
0.733799	40.6615
0.733978	41.055
0.73433	41.4447
0.73449	41.8308
0.734619	42.2133
0.734938	42.5923
0.735135	42.968
0.735259	43.3403
0.735613	43.7095
0.73568	44.0756
0.73589	44.4386
0.736178	44.7986
0.736245	45.1558
0.736552	45.5101
0.736708	45.8617
0.736939	46.2105
0.737122	46.5568
0.737308	46.9005
0.737552	47.2416
0.737689	47.5803
0.737903	47.9166
0.738164	48.2505
0.738294	48.5821
0.738476	48.9114
0.738694	49.2385
0.738942	49.5635
0.73915	49.8863
0.739345	50.207
0.739595	50.5257
0.739751	50.8424
0.739993	51.1571
0.740151	51.4698
0.740392	51.7807
0.848692	52.0897
0.848942	52.3969
0.849171	52.7022
0.849402	53.0058
0.849672	53.3077
0.849905	53.6078
0.850123	53.9063
0.850339	54.2031
0.850598	54.4983
0.850813	54.7919
0.851102	55.0839
0.85138	55.3743
0.851539	55.6633
0.851818	55.9507
0.852045	56.2367
0.852316	56.5212
0.85258	56.8043
0.852827	57.086
0.85309	57.3662
0.853261	57.6451
0.853514	57.9227
0.853764	58.1989
0.854012	58.4739
0.854167	58.7475
0.854403	59.0198
0.854709	59.2909
0.854811	59.5608
0.854997	59.8294
0.855299	60.0968
0.855399	60.3631
0.85558	60.6281
0.855941	60.892
0.856113	61.1548
0.856218	61.4164
0.856481	61.677
0.8568	61.9364
0.856967	62.1947
0.857145	62.452
0.85729	62.7082
0.857554	62.9633
0.857673	63.2174
0.857912	63.4705
0.858119	63.7226
0.858369	63.9737
0.858512	64.2238
0.858744	64.4729
0.859022	64.7211
0.859146	64.9683
0.859306	65.2146
0.85959	65.4599
0.85981	65.7043
0.983792	65.9479
0.984217	66.1905
0.9844	66.4322
0.984602	66.673
0.984877	66.913
0.985042	67.1521
0.985371	67.3904
0.986974	67.6278
0.987091	67.8644
0.987184	68.1002
0.987338	68.3351
0.987513	68.5693
0.987625	68.8026
0.987734	69.0352
0.987911	69.2669
0.988023	69.4979
0.988207	69.7281
0.988405	69.9576
0.988523	70.1863
0.988627	70.4143
0.988719	70.6415
0.988871	70.868
0.989017	71.0938
0.989157	71.3188
0.989339	71.5432
0.98952	71.7668
0.989641	71.9898
0.98983	72.212
0.989939	72.4336
0.990218	72.6545
0.990376	72.8747
0.990603	73.0942
0.990784	73.3131
