segment	time	rtt	rttvar	srtt	rto
1	0.102211	102.036	51.018	102.036	306.108
2	0.204648	102.218	38.309	102.059	255.295
3	0.20517	102.67	28.8847	102.135	217.674
4	0.307151	102.223	25.2851	102.141	203.281
5	0.307517	102.495	22.1688	102.163	200
6	0.307799	102.418	20.3427	102.173	200
7	0.308071	102.618	18.6845	102.192	200
8	0.409831	102.465	17.5338	102.201	200
9	0.410189	102.771	16.4736	102.218	200
10	0.410699	103.055	15.6917	102.239	200
11	0.411101	103.398	14.9651	102.268	200
12	0.41132	103.399	14.3887	102.292	200
13	0.411543	103.57	13.8424	102.318	200
14	0.411949	103.758	13.3994	102.344	200
15	0.412424	104.178	12.9864	102.377	200
16	0.512159	102.106	12.589	102.373	200
17	0.512476	102.377	12.1957	102.373	200
18	0.513164	102.873	11.8709	102.38	200
19	0.513387	103.064	11.5601	102.389	200
20	0.513549	102.742	11.2799	102.394	200
21	0.514274	103.44	11.0241	102.407	200
22	0.514518	103.298	10.7938	102.417	200
23	0.514906	103.649	10.5765	102.431	200
24	0.515126	103.731	10.3833	102.444	200
25	0.515639	104.202	10.2036	102.463	200
26	0.51603	104.393	10.0445	102.481	200
27	0.516479	104.817	9.8962	102.504	200
28	0.516706	104.631	9.75748	102.523	200
29	0.517169	105.065	9.62863	102.545	200
30	0.517652	105.103	9.51078	102.567	200
31	0.517912	105.327	9.39827	102.59	200
32	0.614055	101.686	9.26554	102.583	200
33	0.614197	101.798	9.13302	102.576	200
34	0.61427	101.703	9.01156	102.57	200
35	0.614604	102.002	8.88738	102.566	200
36	0.614732	101.448	8.77948	102.558	200
37	0.615217	101.898	8.66671	102.554	200
38	0.615459	101.995	8.56002	102.55	200
39	0.615636	102.149	8.45267	102.547	200
40	0.616059	102.433	8.34844	102.546	200
41	0.616446	102.796	8.24721	102.548	200
42	0.616809	102.404	8.15075	102.547	200
43	0.617052	102.611	8.05447	102.548	200
44	0.617505	102.91	7.96706	102.55	200
45	0.618107	103.483	7.88713	102.555	200
46	0.618494	103.466	7.81131	102.56	200
47	0.618739	103.682	7.7386	102.566	200
48	0.61911	103.908	7.67197	102.573	200
49	0.619496	104.263	7.60965	102.582	200
50	0.619947	104.186	7.5496	102.59	200
51	0.620472	104.683	7.49503	102.6	200
52	0.620886	104.721	7.44336	102.61	200
53	0.621127	104.933	7.39412	102.622	200
54	0.62148	104.881	7.34658	102.632	200
55	0.621822	105.188	7.30222	102.644	200
56	0.622316	105.529	7.26278	102.657	200
57	0.6228	105.984	7.22764	102.672	200
58	0.623103	105.803	7.19233	102.685	200
59	0.623211	105.884	7.1579	102.699	200
60	0.623313	105.542	7.12195	102.711	200
61	0.623495	105.688	7.08741	102.723	200
62	0.623696	105.697	7.05424	102.735	200
63	0.623854	105.824	7.02226	102.748	200
64	0.715687	101.54	6.97684	102.743	200
65	0.716033	101.875	6.92911	102.74	200
66	0.716234	102.008	6.88217	102.737	200
67	0.716637	102.396	6.83261	102.735	200
68	0.71728	102.981	6.78418	102.736	200
69	0.717605	103.296	6.73841	102.738	200
70	0.717945	103.256	6.69397	102.74	200
71	0.718194	103.494	6.65155	102.743	200
72	0.718566	103.804	6.61272	102.747	200
73	0.719	104.225	6.57706	102.752	200
74	0.719467	104.127	6.54192	102.756	200
75	0.719843	104.467	6.50928	102.762	200
76	0.720089	104.556	6.47825	102.768	200
77	0.720489	104.933	6.44988	102.775	200
78	0.720828	105.115	6.42353	102.783	200
