segment	time	rtt	rttvar	srtt	rto
1	0.102435	102.207	51.1036	102.207	306.621
2	0.20454	101.878	38.4101	102.166	255.806
3	0.204965	102.309	28.8433	102.184	217.557
4	0.306327	101.536	25.3188	102.143	203.419
5	0.306623	101.774	22.2002	102.12	200
6	0.306899	101.835	20.374	102.108	200
7	0.307636	102.548	18.7128	102.127	200
8	0.410221	103.727	17.6432	102.177	200
9	0.410431	103.922	16.6496	102.231	200
10	0.410641	103.898	15.9005	102.273	200
11	0.411262	104.444	15.214	102.327	200
12	0.411631	104.611	14.6753	102.375	200
13	0.411947	104.884	14.1684	102.427	200
14	0.412226	104.449	13.7346	102.463	200
15	0.412501	104.704	13.2556	102.51	200
16	0.515666	105.305	12.8821	102.56	200
17	0.516038	105.652	12.5324	102.615	200
18	0.516285	105.773	12.2395	102.664	200
19	0.516704	106.15	11.9659	102.719	200
20	0.517099	106.354	11.7345	102.769	200
21	0.517308	106.555	11.5137	102.822	200
22	0.517551	106.179	11.2871	102.868	200
23	0.517875	106.46	11.0947	102.913	200
24	0.518251	106.498	10.907	102.958	200
25	0.518458	106.678	10.7436	103	200
26	0.518781	106.728	10.5842	103.043	200
27	0.519077	106.999	10.4335	103.088	200
28	0.519595	106.986	10.2974	103.128	200
29	0.519839	107.204	10.1678	103.171	200
30	0.621341	105.576	10.006	103.196	200
31	0.621467	105.67	9.8612	103.22	200
32	0.621568	105.447	9.71439	103.241	200
33	0.621752	105.597	9.57289	103.264	200
34	0.621904	105.561	9.43297	103.286	200
35	0.622004	105.638	9.30653	103.307	200
36	0.622117	105.331	9.17649	103.325	200
37	0.622222	105.4	9.04968	103.343	200
38	0.622369	105.188	8.92959	103.359	200
39	0.622555	105.337	8.81374	103.375	200
40	0.622668	105.294	8.69882	103.391	200
41	0.622728	105.108	8.58244	103.406	200
42	0.6229	105.255	8.47724	103.42	200
43	0.623052	105.075	8.37064	103.433	200
44	0.623154	105.131	8.26637	103.446	200
45	0.623269	104.933	8.16045	103.458	200
46	0.623373	105.002	8.06315	103.469	200
47	0.623477	104.963	7.96655	103.48	200
48	0.623633	104.783	7.86856	103.49	200
49	0.623821	104.947	7.77427	103.5	200
50	0.623926	104.768	7.68389	103.509	200
51	0.624004	104.819	7.59536	103.518	200
52	0.624206	104.541	7.50407	103.525	200
53	0.624312	104.393	7.4119	103.531	200
54	0.624531	104.57	7.32337	103.539	200
55	0.732811	111.412	7.33061	103.59	200
56	0.733046	111.632	7.33996	103.643	200
57	0.733294	111.789	7.35056	103.697	200
58	0.733464	111.851	7.36113	103.751	200
59	0.733736	112.123	7.37444	103.806	200
60	0.733811	112.026	7.38501	103.857	200
61	0.734001	112.054	7.39515	103.908	200
62	0.734357	112.394	7.40878	103.961	200
63	0.734504	112.465	7.42247	104.014	200
64	0.734634	112.585	7.43682	104.068	200
65	0.734964	112.797	7.4522	104.12	200
66	0.735149	112.893	7.46792	104.172	200
67	0.735279	113.007	7.48419	104.225	200
68	0.735628	113.224	7.50222	104.278	200
69	0.735692	113.105	7.51799	104.331	200
70	0.735913	113.303	7.53451	104.382	200
71	0.736194	113.486	7.55235	104.434	200
72	0.736259	113.497	7.56952	104.485	200
73	0.736578	113.795	7.58929	104.538	200
74	0.736723	113.785	7.60813	104.591	200
75	0.736971	113.867	7.62709	104.643	200
76	0.737136	114.034	7.64626	104.694	200
77	0.737342	114.133	7.66574	104.746	200
78	0.737584	114.263	7.68586	104.797	200
79	0.737704	114.388	7.70657	104.849	200
80	0.737938	114.51	7.72781	104.902	200
81	0.738189	114.666	7.74994	104.955	200
82	0.738306	114.785	7.77161	105.006	200
83	0.7385	114.823	7.79291	105.057	200
84	0.738718	114.853	7.81377	105.108	200
85	0.738967	115.092	7.83636	105.16	200
86	0.739175	115.204	7.85936	105.213	200
87	0.73937	115.321	7.88278	105.265	200
88	0.73962	115.368	7.90499	105.316	200
89	0.739765	115.513	7.9279	105.367	200
90	0.740018	115.66	7.95156	105.418	200
91	0.740184	115.6	7.97386	105.469	200
92	0.740431	115.829	7.99772	105.521	200
93	0.848719	115.835	8.02088	105.573	200
94	0.848975	115.852	8.0426	105.622	200
95	0.849184	116.061	8.06564	105.672	200
96	0.849431	116.086	8.08821	105.722	200
97	0.849685	116.167	8.11088	105.772	200
98	0.849928	116.148	8.13266	105.822	200
99	0.850151	116.353	8.15572	105.873	200
100	0.85037	116.511	8.17959	105.924	200
101	0.85061	116.555	8.20228	105.973	200
102	0.850825	116.748	8.2261	106.023	200
103	0.851114	116.704	8.24883	106.073	200
104	0.851392	116.851	8.27225	106.123	200
105	0.851552	116.87	8.29516	106.172	200
106	0.851845	117.128	8.3198	106.223	200
107	0.852063	117.038	8.3429	106.273	200
108	0.852343	117.143	8.36546	106.322	200
109	0.852592	117.26	8.38843	106.37	200
110	0.852869	117.482	8.41275	106.42	200
111	0.853103	117.437	8.436	106.469	200
112	0.853294	117.547	8.45959	106.519	200
113	0.853546	117.789	8.48469	106.569	200
114	0.853796	117.811	8.5093	106.619	200
115	0.854024	117.794	8.53228	106.667	200
116	0.854194	117.886	8.55544	106.716	200
117	0.854445	118.113	8.57994	106.765	200
118	0.854721	118.078	8.60351	106.814	200
119	0.854824	118.052	8.62622	106.862	200
120	0.855039	117.985	8.64774	106.91	200
121	0.855317	118.26	8.67104	106.959	200
122	0.855412	118.239	8.69278	107.006	200
123	0.855604	118.193	8.71357	107.053	200
124	0.855997	118.315	8.73481	107.099	200
125	0.856128	118.474	8.75681	107.147	200
126	0.856231	118.49	8.77836	107.194	200
127	0.856494	118.502	8.79944	107.241	200
128	0.856821	118.571	8.82052	107.288	200
129	0.85698	118.716	8.84225	107.336	200
130	0.857169	118.819	8.86355	107.382	200
131	0.857306	118.75	8.88374	107.428	200
132	0.8576	118.797	8.90378	107.474	200
133	0.857688	118.9	8.92412	107.52	200
134	0.857961	118.905	8.94396	107.566	200
135	0.858133	118.905	8.96327	107.612	200
136	0.858405	118.96	8.98251	107.657	200
137	0.858527	119.081	9.0022	107.704	200
138	0.85876	119.087	9.0208	107.748	200
139	0.859059	119.216	9.03992	107.793	200
140	0.859159	119.087	9.05753	107.837	200
141	0.859334	119.225	9.07574	107.881	200
142	0.859617	119.365	9.09455	107.926	200
143	0.859838	119.327	9.11256	107.971	200
144	0.983827	135.036	9.25282	108.077	200
145	0.984247	135.449	9.39438	108.183	200
146	0.984424	135.376	9.52922	108.286	200
147	0.984623	135.366	9.66217	108.389	200
148	0.984912	135.404	9.79363	108.491	200
149	0.985065	135.543	9.92437	108.594	200
150	0.985391	135.634	10.054	108.696	200
151	0.987004	137.006	10.1923	108.803	200
152	0.987108	136.9	10.328	108.91	200
153	0.987202	136.777	10.4609	109.015	200
154	0.987358	136.91	10.589	109.118	200
155	0.987541	136.863	10.7152	109.22	200
156	0.987641	136.752	10.8388	109.321	200
157	0.987751	136.555	10.9594	109.421	200
158	0.98794	136.714	11.0795	109.522	200
159	0.98804	136.557	11.1968	109.621	200
160	0.988237	136.63	11.3131	109.72	200
161	0.98844	136.52	11.427	109.819	200
162	0.988539	136.414	11.5385	109.917	200
163	0.988643	136.5	11.6459	110.012	200
164	0.988736	136.317	11.7507	110.106	200
165	0.988899	136.256	11.8535	110.199	200
166	0.989035	136.065	11.9536	110.291	200
167	0.989174	136.181	12.0532	110.384	200
168	0.989355	136.215	12.1516	110.476	200
169	0.989536	136.17	12.2483	110.568	200
170	0.989657	136.039	12.3427	110.659	200
171	0.989846	135.978	12.4354	110.749	200
172	0.989955	136.063	12.5249	110.837	200
173	0.990262	136.172	12.6138	110.925	200
174	0.990395	136.121	12.7012	111.013	200
175	0.990652	136.103	12.7872	111.1	200
176	0.990802	136.26	12.8732	111.187	200
177	0.99106	136.287	12.9581	111.274	200
178	0.991222	136.359	13.0423	111.361	200
179	0.991451	136.308	13.125	111.448	200
180	0.991711	136.343	13.2067	111.534	200
181	0.992018	136.637	13.2871	111.619	200
182	0.992151	136.707	13.3668	111.704	200
183	0.992451	136.761	13.4458	111.789	200
184	0.992597	136.553	13.5223	111.872	200
185	0.992788	136.614	13.5981	111.956	200
186	0.992984	136.79	13.674	112.04	200
187	0.993127	136.853	13.7493	112.124	200
188	0.993357	136.759	13.8228	112.207	200
189	0.993621	136.716	13.895	112.29	200
190	0.993721	136.703	13.9642	112.37	200
191	0.993951	136.91	14.0338	112.451	200
192	0.994237	137.022	14.1031	112.531	200
193	0.994317	136.93	14.1709	112.612	200
194	0.994529	136.879	14.2373	112.692	200
195	0.994882	137.152	14.3045	112.772	200
196	0.994962	137.216	14.3713	112.852	200
197	0.995171	137.126	14.4364	112.932	200
198	0.995477	137.277	14.5016	113.012	200
199	0.995557	137.099	14.5646	113.092	200
200	0.995815	137.203	14.6258	113.169	200
201	0.996099	137.473	14.6879	113.247	200
202	0.996193	137.349	14.7482	113.324	200
203	0.996427	137.298	14.8074	113.401	200
204	0.996579	137.384	14.8662	113.478	200
205	0.996847	137.439	14.9245	113.555	200
206	0.997045	137.599	14.983	113.632	200
207	0.997177	137.488	15.0398	113.708	200
208	0.997469	137.545	15.0962	113.784	200
209	1.14271	158.78	15.2831	113.925	200
211	1.1434	159.059	15.4697	114.066	200
212	1.1437	159.23	15.6553	114.207	200
215	1.14409	158.962	15.8371	114.347	200
217	1.14578	160.348	16.0257	114.491	200
218	1.14611	159.056	16.204	114.63	200
221	1.14622	158.968	16.3799	114.769	200
223	1.14657	158.985	16.5538	114.907	200
225	1.14679	158.998	16.7259	115.045	200
227	1.14708	159.096	16.8967	115.182	200
229	1.14729	159.008	17.065	115.319	200
231	1.1475	158.927	17.2269	115.452	200
234	1.14782	159.051	17.3877	115.585	200
235	1.14798	159.032	17.5466	115.718	200
239	1.14831	158.917	17.703	115.849	200
240	1.14839	158.817	17.8571	115.98	200
242	1.14881	158.925	18.01	116.111	200
245	1.14889	158.589	18.1592	116.241	200
246	1.14922	158.745	18.3077	116.37	200
247	1.1493	158.589	18.4535	116.499	200
250	1.14964	158.518	18.5972	116.627	200
251	1.1498	158.54	18.7359	116.752	200
252	1.15018	158.665	18.8739	116.877	200
253	1.15025	158.483	19.0092	117	200
254	1.1506	158.802	19.1449	117.125	200
255	1.15069	158.642	19.278	117.248	200
257	1.15101	158.492	19.4088	117.371	200
258	1.15128	158.652	19.539	117.494	200
260	1.15138	158.555	19.6671	117.616	200
261	1.1517	158.683	19.7945	117.738	200
263	1.1519	158.489	19.9192	117.86	200
264	1.15223	158.578	20.043	117.981	200
266	1.15232	158.573	20.1625	118.099	200
267	1.15264	158.643	20.281	118.217	200
268	1.15284	158.568	20.3977	118.334	200
270	1.1531	158.527	20.5128	118.451	200.502
272	1.15333	158.418	20.6259	118.567	201.071
274	1.15366	158.444	20.7378	118.683	201.634
275	1.15385	158.338	20.8478	118.798	202.189
276	1.15402	158.424	20.9569	118.913	202.741
278	1.1543	158.434	21.0649	119.028	203.288
279	1.15446	158.326	21.1709	119.143	203.826
280	1.15471	158.49	21.2742	119.254	204.351
281	1.15509	158.608	21.3769	119.366	204.874
283	1.1552	158.533	21.478	119.477	205.389
285	1.15553	158.433	21.5773	119.588	205.897
287	1.15564	158.117	21.6736	119.698	206.392
288	1.15597	158.433	21.7705	119.808	206.89
289	1.27979	137.028	21.7299	119.885	206.804
290	1.28051	137.066	21.6893	119.961	206.718
