time	cwndsize
0.281553	2
0.671315	3
0.71375	4
1.36643	5
1.46197	6
1.53609	7
1.56379	5.6
1.632	5.71484
2.51936	5.93673
2.57108	6.11405
2.63155	6.25808
2.69146	6.37628
2.74767	6.47398
2.80969	6.55522
3.55636	6.6429
3.61937	6.72211
3.66468	6.79344
3.75532	6.86486
3.79351	6.9306
3.85259	6.99555
4.61871	7.30254
4.70104	7.59799
4.79707	7.8967
4.82983	8.1651
4.87207	8.4162
4.92255	8.65958
6.1764	10.1393
6.24127	11.3428
6.30436	12.3898
6.33906	13.3039
6.37581	14.1268
6.43013	14.9012
6.46801	15.6225
6.50948	16.306
7.85294	18.7724
7.93417	20.9145
7.98608	22.8119
8.11571	24.6515
8.15515	26.3325
8.23466	27.945
8.37952	29.5908
8.45996	31.19
8.52457	32.7345
8.75772	34.4438
8.96501	36.2779
9.03844	38.0602
9.09742	39.7836
9.1723	41.4777
9.26883	43.1745
9.35715	44.8672
10.6513	48.2254
10.7016	51.3565
10.7948	54.3708
11.0016	43.4967
11.2677	43.5605
11.3726	43.6434
11.4195	43.7329
11.5108	43.8363
11.6039	43.9521
11.7027	44.0798
11.7969	44.2171
11.8665	44.3597
11.9147	44.5044
11.9902	44.6539
12.056	44.8064
12.1486	44.9638
12.2254	45.1239
12.3154	45.2869
12.3896	45.4511
12.447	45.6148
12.5251	45.779
12.6002	45.9431
12.6672	46.1062
12.7411	46.2685
12.8283	46.4299
12.9055	46.5899
12.9428	46.7469
12.9844	46.9012
13.0317	47.0529
13.0787	47.2019
13.2085	47.3497
13.2781	47.4949
13.3906	47.6378
13.456	47.7779
13.4863	47.9148
13.5274	48.0487
13.5736	48.1796
13.6201	48.3077
13.6883	48.433
13.7403	48.5554
13.8348	48.6752
13.9145	48.7922
13.9996	48.9065
14.0467	49.0182
14.0693	49.1274
15.2099	49.2488
15.2807	49.3702
15.3501	49.4917
15.4672	49.6162
15.5325	49.7414
15.6141	49.8687
15.7639	50.0035
15.8352	50.1409
15.8749	50.2784
15.9957	50.4237
16.2461	50.5927
16.3071	50.7653
16.8052	51.0115
16.8285	40.8092
16.8993	40.8492
17.007	40.9008
17.1852	40.9691
17.2291	41.0396
17.2768	41.1122
17.3872	41.1915
17.4666	41.2741
17.5748	41.361
17.6373	41.4489
17.7108	41.538
17.7675	41.6271
17.8856	41.7183
17.9227	41.8083
17.9815	41.8976
18.0201	41.9856
18.1004	42.0731
18.3537	42.1623
18.4397	42.2499
18.6219	42.3362
18.6965	42.4204
18.7735	42.5026
18.7966	42.5828
18.8755	42.6609
19.0599	42.7371
19.1753	42.8114
