time	pps	kbps
0.100105	0	0
0.200226	1	35.232
0.300346	0	0
0.400467	0	0
0.500586	1	35.232
0.600706	1	35.232
0.700772	0	0
0.800892	0	0
0.90101	0	0
1.00113	2	70.464
1.10123	1	35.232
1.20135	1	35.232
1.30145	0	0
1.40157	0	0
1.50169	0	0
1.6018	0	0
1.70192	0	0
1.80204	0	0
1.90213	1	35.232
2.00225	1	35.232
2.10237	1	35.232
2.20249	2	70.464
2.30259	1	35.232
2.40271	0	0
2.50283	0	0
2.60295	0	0
2.70306	0	0
2.80318	0	0
2.90329	0	0
3.00341	0	0
3.10352	1	35.232
3.20361	1	35.232
3.30372	2	70.464
3.40384	1	35.232
3.504	0	0
3.60406	0	0
3.70418	0	0
3.8043	0	0
3.90441	0	0
4.00453	0	0
4.10464	1	35.232
4.20476	2	70.464
4.30488	2	70.464
4.40504	1	35.232
4.50511	0	0
4.60523	0	0
4.70534	0	0
4.80546	0	0
4.90551	0	0
5.00562	0	0
5.10574	0	0
5.20585	2	70.464
5.30597	2	70.464
5.40609	2	70.464
5.50621	0	0
5.60633	0	0
5.70644	0	0
5.80651	1	35.232
5.90663	0	0
6.00674	0	0
6.10683	0	0
6.20695	0	0
6.30707	0	0
6.40718	0	0
6.5073	0	0
6.60742	0	0
6.70753	0	0
6.80765	2	70.464
6.90776	2	70.464
7.00786	2	70.464
7.10803	1	35.232
7.20815	1	35.232
7.30827	0	0
7.40837	0	0
7.50849	0	0
7.60859	0	0
7.70871	0	0
7.80882	0	0
7.90894	0	0
8.00906	0	0
8.10917	0	0
8.2093	0	0
8.30942	0	0
8.40955	0	0
8.50967	0	0
8.60978	0	0
8.70983	0	0
8.80995	0	0
8.91006	0	0
9.01018	0	0
9.1103	0	0
9.21041	0	0
9.31053	0	0
9.41063	0	0
9.51074	0	0
9.61086	2	70.464
9.71098	1	35.232
9.81109	2	70.464
9.91119	2	70.464
10.0113	2	70.464
10.1114	0	0
10.2116	0	0
10.3117	0	0
10.4118	0	0
10.5119	0	0
10.612	0	0
10.7121	0	0
10.8123	0	0
10.9124	0	0
11.0125	0	0
11.1126	0	0
11.2127	0	0
11.3128	0	0
11.4129	0	0
11.5131	0	0
11.6132	0	0
11.7133	0	0
11.8134	0	0
11.9135	0	0
12.0136	0	0
12.1137	0	0
12.2139	0	0
12.314	0	0
12.4141	0	0
12.5142	0	0
12.6143	0	0
12.7144	0	0
12.8146	0	0
12.9147	0	0
13.0148	0	0
13.1149	0	0
13.215	0	0
13.3151	0	0
13.4153	0	0
13.5154	0	0
13.6155	0	0
13.7156	0	0
13.8157	0	0
13.9158	0	0
14.016	0	0
14.1161	0	0
14.2162	0	0
14.3164	2	70.464
14.4165	1	35.232
14.5166	1	35.232
14.6167	0	0
14.7169	1	35.232
14.817	0	0
14.9171	0	0
15.0172	0	0
15.1173	0	0
15.2174	0	0
15.3175	0	0
15.4176	0	0
15.5178	0	0
15.6179	0	0
15.718	0	0
15.8181	0	0
15.9182	0	0
16.0184	0	0
16.1185	0	0
16.2186	0	0
16.3187	0	0
16.4188	0	0
16.5189	0	0
16.6191	0	0
16.7192	0	0
16.8193	0	0
16.9194	0	0
17.0195	0	0
17.1196	0	0
17.2198	0	0
17.3199	0	0
17.42	0	0
17.5201	0	0
17.6202	0	0
17.7203	0	0
17.8204	0	0
17.9205	0	0
18.0207	0	0
18.1208	0	0
18.2209	0	0
18.321	0	0
18.4211	0	0
18.5213	1	35.232
18.6214	0	0
18.7215	0	0
18.8216	0	0
18.9218	0	0
19.0219	0	0
19.122	0	0
19.2221	0	0
19.3223	0	0
19.4224	0	0
19.5225	0	0
19.6226	0	0
19.7227	0	0
19.8229	0	0
19.923	0	0
