segment	time	rtt	rttvar	srtt	rto
1	0.196107	195.893	97.9465	195.893	587.679
2	0.475253	278.919	94.2163	206.271	583.136
3	0.528721	332.301	102.17	222.025	630.704
4	0.904098	428.634	115.225	234.938	695.836
5	0.994608	519.088	136.34	252.697	798.059
6	1.07433	545.403	149.371	264.893	862.377
7	1.16865	639.672	168.155	280.509	953.128
8	1.85546	951.135	230.964	322.423	1246.28
14	3.0731	1056	293.79	368.272	1543.43
15	3.15639	1049.95	342.276	410.877	1779.98
16	3.2478	1096.09	385.143	453.702	1994.27
17	3.29179	1140.04	422.792	496.598	2187.77
18	3.34378	1102.72	438.069	521.853	2274.13
19	4.05152	978.213	439.594	540.868	2299.24
20	4.11796	961.365	438.002	558.389	2310.4
21	4.16764	919.572	431.601	573.438	2299.84
22	4.23393	941.888	426.338	588.79	2294.14
23	4.29299	1000.84	425.147	605.959	2306.55
24	4.40486	1060.83	427.624	624.912	2335.41
25	5.12435	1072.63	429.299	643.567	2360.76
26	5.17537	1057.19	427.993	660.801	2372.77
27	5.24038	1072.54	426.638	677.957	2384.51
28	5.29964	1065.5	423.38	694.105	2387.62
29	5.33635	1102.16	422.103	711.107	2399.52
30	5.37142	1078.21	418.666	722.579	2397.24
31	5.79093	1385.85	433.953	743.306	2479.12
32	6.71457	1590	459.75	769.765	2608.76
33	6.76159	1586.01	482.031	795.273	2723.4
34	6.82337	1582.78	501.123	819.883	2824.38
35	6.90197	1602.13	518.693	844.328	2919.1
36	6.93889	1602.34	533.65	868.016	3002.62
37	6.99266	1656.07	549.551	892.642	3090.84
38	7.06474	1693.1	565.232	917.657	3178.59
39	7.1143	1323.17	555.25	930.329	3151.33
40	9.5537	2838.85	639.829	989.97	3549.29
41	9.60525	2843.46	715.683	1047.89	3910.62
42	9.64778	2824.2	804.069	1121.9	4000
43	9.7284	2826.22	879.089	1192.92	4000
44	9.80207	2862.98	977.961	1297.3	4000
45	9.84536	2852.49	1050.11	1394.5	4000
46	9.8613	2868.39	1103.09	1486.61	4000
47	9.92581	2860.86	1125.68	1543.87	4000
48	10.0005	2885.96	1143.72	1599.8	4000
65	26.9683	2918.73	1187.52	1764.66	4000
66	27.2171	2806.03	1169.25	1829.75	4000
67	27.3755	2625.93	1122.62	1879.51	4000
68	29.6957	2727.25	1088.26	1932.49	4000
69	29.7585	2790.02	1059.42	1986.09	4000
70	29.8761	2658.87	1011.09	2028.14	4000
71	29.9272	2551.48	950.12	2060.85	4000
72	32.6098	2913.86	937.982	2114.16	4000
73	32.6486	2952.52	925.529	2166.56	4000
74	32.8262	3067.48	923.478	2204.1	4000
75	33.3467	3470.32	952.04	2256.85	4000
76	33.6409	3713.46	994.088	2317.55	4000
77	35.8525	3242.53	988.329	2356.09	4000
78	35.9008	3252.03	980.63	2393.42	4000
79	35.9271	3278.3	972.651	2430.29	4000
