time	cwndsize
0.102974	2
0.213414	3
0.213799	4
0.315715	5
0.316073	6
0.316266	7
0.316598	8
0.418319	9
0.418717	10
0.418905	11
0.419592	12
0.419758	13
0.42032	14
0.420536	13
0.420638	14
0.521253	15.1429
0.521553	16.1995
0.521954	17.1871
0.522763	18.1181
0.522993	19.0012
0.523561	19.8432
0.523742	20.6495
0.524314	21.4244
0.52455	22.1712
0.525194	22.8929
0.525377	23.5918
0.525556	24.27
0.525734	24.9292
0.526307	25.571
0.624296	26.1967
0.624406	26.8075
0.624865	27.4043
0.625056	27.9882
0.625192	28.5599
0.625277	29.1201
0.6254	29.6695
0.625649	30.2088
0.62594	30.7385
0.626117	31.259
0.626412	31.7708
0.626718	32.2744
0.626865	32.7702
0.627138	33.2584
0.627444	33.7395
0.629462	34.2137
0.637827	34.6814
0.63804	35.1427
0.647541	35.598
0.647675	36.0475
0.647747	36.4913
0.647803	36.9298
0.650164	37.3631
0.650315	37.7913
0.650374	38.2147
0.732148	38.6334
0.747947	39.0475
0.748186	39.4573
0.748296	39.8628
0.748634	40.2641
0.748799	40.6615
0.749163	41.055
0.749473	41.4447
0.749605	41.8308
0.750493	42.2133
0.750651	42.5923
0.75094	42.968
0.751212	43.3403
0.751479	43.7095
0.751767	44.0756
0.752241	44.4386
0.7571	44.7986
0.757421	45.1558
0.757622	45.5101
0.759741	45.8617
0.760087	46.2105
0.760322	46.5568
0.760765	46.9005
0.761125	47.2416
0.761437	47.5803
0.761606	47.9166
0.762215	48.2505
0.762493	48.5821
0.762667	48.9114
0.762992	49.2385
0.763305	49.5635
0.763574	49.8863
0.763771	50.207
0.763977	50.5257
0.764216	50.8424
0.764583	51.1571
0.764832	51.4698
0.764987	51.7807
0.833604	52.0897
0.895895	52.3969
0.89605	52.7022
0.896512	53.0058
0.896706	53.3077
0.897031	53.6078
0.897462	53.9063
0.897695	54.2031
0.897903	54.4983
0.898173	54.7919
0.902291	55.0839
0.902492	55.3743
0.903	55.6633
0.903185	55.9507
0.903329	56.2367
0.903499	56.5212
0.904491	56.8043
0.904676	57.086
0.905267	57.3662
0.905464	57.6451
0.905624	57.9227
0.905767	58.1989
0.909032	58.4739
0.909231	58.7475
0.909378	59.0198
0.90977	59.2909
0.910118	59.5608
0.910305	59.8294
0.91048	60.0968
0.910806	60.3631
0.910967	60.6281
0.911134	60.892
0.911545	61.1548
0.911725	61.4164
0.911846	61.677
0.91211	61.9364
0.912279	62.1947
0.912606	62.452
0.912762	62.7082
0.912883	62.9633
0.913271	63.2174
0.913461	63.4705
0.91358	63.7226
0.913846	63.9737
0.914017	64.2238
0.914293	64.4729
0.914464	64.7211
0.914663	64.9683
0.914883	65.2146
0.915039	65.4599
0.915242	65.7043
0.935152	65.9479
0.935469	66.1905
1.01226	66.4322
1.01269	66.673
1.01319	66.913
1.01369	67.1521
1.01427	67.3904
1.01468	67.6278
1.01528	67.8644
1.01576	68.1002
1.0161	68.3351
1.01673	68.5693
1.01715	68.8026
1.01763	69.0352
1.01803	69.2669
1.01868	69.4979
1.01895	69.7281
1.01921	69.9576
1.01948	70.1863
1.01975	70.4143
1.02009	70.6415
1.02029	70.868
1.02058	71.0938
1.02091	71.3188
1.0213	71.5432
1.02166	71.7668
1.02205	71.9898
1.02251	72.212
1.0229	72.4336
1.02325	72.6545
1.02368	72.8747
1.02402	73.0942
1.02444	73.3131
