time	pps	kbps
0.100103	0	0
0.200225	1	35.232
0.300347	2	70.464
0.400418	4	140.928
0.500482	8	281.856
0.600594	16	563.712
0.700678	9	317.088
0.800748	18	634.176
0.900808	24	845.568
1.00093	24	845.568
1.10104	8	281.856
1.2011	5	176.16
1.30131	21	739.872
1.40136	17	598.944
1.50147	20	704.64
1.60159	10	352.32
1.70171	8	281.856
1.80183	8	281.856
1.90191	25	880.8
2.00203	11	387.552
2.10213	10	352.32
2.20223	19	669.408
2.30229	5	176.16
2.40236	8	281.856
2.50265	23	810.336
2.60271	24	845.568
2.70279	0	0
2.80287	35	1233.12
2.90303	0	0
3.00315	15	528.48
3.10327	11	387.552
3.20337	23	810.336
3.30346	27	951.264
3.40358	8	281.856
3.5037	10	352.32
3.60379	6	211.392
3.70388	13	458.016
3.80401	23	810.336
3.90413	18	634.176
4.00421	13	458.016
4.10462	20	704.64
4.2047	24	845.568
4.30478	19	669.408
4.40486	12	422.784
4.50495	15	528.48
4.60504	17	598.944
4.70514	5	176.16
4.80526	15	528.48
4.90538	9	317.088
5.0055	6	211.392
5.10562	11	387.552
5.20574	17	598.944
5.30586	9	317.088
5.40595	8	281.856
5.50604	10	352.32
5.60616	13	458.016
5.70628	7	246.624
5.80639	10	352.32
5.9065	2	70.464
6.00657	9	317.088
6.10664	10	352.32
6.20671	30	1056.96
6.30685	32	1127.42
6.40694	29	1021.73
6.50708	15	528.48
6.60717	31	1092.19
6.70725	2	70.464
6.80736	35	1233.12
6.90744	36	1268.35
7.00753	0	0
7.10765	15	528.48
7.2077	13	458.016
7.30783	20	704.64
7.40796	37	1303.58
7.50809	7	246.624
7.60821	37	1303.58
7.70832	26	916.032
7.80843	0	0
7.90851	21	739.872
8.00885	12	422.784
8.10892	21	739.872
8.20904	11	387.552
8.30915	17	598.944
8.40927	25	880.8
8.50933	14	493.248
8.60945	13	458.016
8.70955	28	986.496
8.80964	17	598.944
8.90976	0	0
9.00984	0	0
9.10989	2	70.464
9.20996	16	563.712
9.31008	24	845.568
9.41019	21	739.872
9.51024	5	176.16
9.61032	0	0
9.71041	31	1092.19
9.81048	5	176.16
9.91062	12	422.784
10.011	7	246.624
10.1111	19	669.408
10.2112	8	281.856
10.3114	33	1162.66
10.4115	4	140.928
10.5116	10	352.32
10.6117	20	704.64
10.7118	36	1268.35
10.8119	1	35.232
10.912	17	598.944
11.0121	0	0
11.1122	5	176.16
11.2123	21	739.872
11.3124	0	0
11.4125	3	105.696
11.5126	30	1056.96
11.6127	7	246.624
11.7129	2	70.464
11.813	16	563.712
11.913	8	281.856
12.0131	12	422.784
12.1132	6	211.392
12.2133	17	598.944
12.3134	17	598.944
12.4135	15	528.48
12.5136	20	704.64
12.6137	10	352.32
12.7139	5	176.16
12.814	15	528.48
12.9141	13	458.016
13.0142	3	105.696
13.1142	32	1127.42
13.2143	8	281.856
13.3144	11	387.552
13.4145	17	598.944
13.5146	19	669.408
13.6147	3	105.696
13.7147	18	634.176
13.8148	9	317.088
13.9149	13	458.016
14.015	3	105.696
14.1153	12	422.784
14.2153	18	634.176
14.3154	19	669.408
14.4155	7	246.624
14.5157	3	105.696
14.6158	3	105.696
14.7158	15	528.48
14.816	13	458.016
14.916	23	810.336
15.0161	4	140.928
15.1163	14	493.248
15.2164	22	775.104
15.3165	29	1021.73
15.4166	23	810.336
15.5167	4	140.928
15.6168	5	176.16
15.7169	6	211.392
15.817	8	281.856
15.9171	7	246.624
16.0172	3	105.696
16.1173	2	70.464
16.2174	4	140.928
16.3175	5	176.16
16.4175	6	211.392
16.5176	8	281.856
16.6177	8	281.856
16.7178	5	176.16
16.8179	9	317.088
16.918	9	317.088
17.0181	8	281.856
17.1182	7	246.624
17.2183	6	211.392
17.3184	4	140.928
17.4186	9	317.088
17.5187	15	528.48
17.6188	18	634.176
17.7189	14	493.248
17.819	27	951.264
17.9191	4	140.928
18.0192	11	387.552
18.1193	2	70.464
18.2194	6	211.392
18.3195	12	422.784
18.4196	11	387.552
18.5197	6	211.392
18.6199	4	140.928
18.72	17	598.944
18.82	11	387.552
18.9201	11	387.552
19.0202	8	281.856
19.1203	9	317.088
19.2204	10	352.32
19.3206	6	211.392
19.4207	13	458.016
19.5208	25	880.8
19.6209	7	246.624
19.721	8	281.856
19.8211	11	387.552
19.9212	0	0
20.0213	0	0
20.1214	21	739.872
20.2216	15	528.48
20.3217	8	281.856
20.4218	6	211.392
20.5219	10	352.32
20.622	8	281.856
20.7221	0	0
20.8222	3	105.696
20.9223	0	0
21.0224	10	352.32
21.1225	4	140.928
21.2226	9	317.088
21.3227	23	810.336
21.4229	11	387.552
21.523	4	140.928
21.6231	25	880.8
21.7232	8	281.856
21.8233	10	352.32
21.9234	1	35.232
22.0234	20	704.64
22.1235	3	105.696
22.2237	0	0
22.3238	0	0
22.4238	5	176.16
22.524	16	563.712
22.6241	4	140.928
22.7242	12	422.784
22.8243	13	458.016
22.9244	9	317.088
23.0245	0	0
23.1246	9	317.088
23.2247	22	775.104
23.3248	2	70.464
23.4249	35	1233.12
23.525	1	35.232
23.6251	0	0
23.7252	14	493.248
23.8253	6	211.392
23.9254	6	211.392
24.0255	6	211.392
24.1256	6	211.392
24.2257	9	317.088
24.3258	16	563.712
24.4259	13	458.016
24.5261	7	246.624
24.6262	8	281.856
24.7263	6	211.392
24.8264	0	0
24.9265	0	0
25.0266	0	0
25.1267	0	0
25.2268	7	246.624
25.3269	1	35.232
25.427	0	0
25.5271	0	0
25.6272	6	211.392
25.7273	1	35.232
25.8273	0	0
25.9274	10	352.32
26.0275	11	387.552
26.1276	24	845.568
26.2277	26	916.032
26.3278	17	598.944
26.4279	3	105.696
26.528	0	0
26.6281	9	317.088
26.7282	0	0
26.8283	0	0
26.9284	22	775.104
27.0284	2	70.464
27.1285	37	1303.58
27.2286	20	704.64
27.3288	40	1409.28
27.4289	0	0
