segment	time	rtt	rttvar	srtt	rto
0	0.102211	102.085	51.0427	102.085	306.256
1	0.204808	102.346	38.3472	102.118	255.507
2	0.205212	102.711	28.9086	102.192	217.826
3	0.307412	102.382	25.3188	102.204	203.479
4	0.307792	102.707	22.2168	102.235	200
5	0.307977	102.654	20.4003	102.253	200
6	0.308126	102.778	18.744	102.275	200
7	0.420166	112.502	18.2117	102.594	200
8	0.421173	113.463	17.7527	102.934	200
9	0.421489	113.598	17.3983	103.201	200
10	0.421677	113.755	17.0561	103.464	200
11	0.422371	114.324	16.798	103.691	200
12	0.422608	114.533	16.5498	103.917	200
13	0.422777	114.583	16.3397	104.107	200
14	0.423603	115.381	16.1588	104.308	200
15	0.522391	101.961	15.7272	104.272	200
16	0.522699	102.17	15.3014	104.239	200
17	0.523641	102.336	14.9292	104.212	200
18	0.524257	102.916	14.5505	104.194	200
19	0.55595	134.367	14.941	104.572	200
20	0.556307	134.698	15.3207	104.948	200
21	0.557229	135.479	15.6664	105.295	200
22	0.558107	136.329	16.0156	105.648	200
23	0.56596	143.47	16.4699	106.042	200
24	0.566294	143.752	16.9124	106.435	200
25	0.567889	145.206	17.3328	106.807	200
26	0.568121	145.415	17.7419	107.179	200
27	0.568401	145.536	18.1101	107.521	200
28	0.568876	145.987	18.4735	107.864	200
29	0.56915	145.426	18.7917	108.177	200
30	0.569328	145.566	19.1016	108.489	200
31	0.630807	108.212	18.8075	108.487	200
32	0.63125	108.626	18.5158	108.488	200
33	0.636081	113.286	18.314	108.523	200
34	0.636326	113.507	18.118	108.56	200
35	0.636687	112.923	17.927	108.59	200
36	0.637144	113.345	17.744	108.623	200
37	0.637383	113.003	17.5682	108.652	200
38	0.637562	113.153	17.3962	108.682	200
39	0.665159	108.981	17.1825	108.684	200
40	0.665441	109.22	16.9745	108.687	200
41	0.665622	109.211	16.7786	108.69	200
42	0.683896	127.432	16.802	108.802	200
43	0.684163	126.817	16.8158	108.904	200
44	0.757264	199.889	17.6586	109.421	200
91	1.10819	163.476	18.1375	109.776	200
92	1.10853	163.665	18.6079	110.131	200
93	1.11469	101.486	18.4768	110.074	200
94	1.13617	113.739	18.2819	110.098	200
95	1.14098	101.809	18.1505	110.044	200
96	1.14129	101.894	18.0189	109.99	200
97	1.14152	101.988	17.8871	109.937	200
98	1.14199	101.874	17.7578	109.884	200
99	1.14218	101.771	17.6309	109.831	200
100	1.1493	108.741	17.4133	109.824	200
101	1.14963	108.709	17.1988	109.817	200
102	1.1498	108.517	16.9896	109.808	200
103	1.14996	108.458	16.7838	109.799	200
104	1.15028	108.638	16.5783	109.791	200
105	1.15302	101.692	16.4667	109.738	200
106	1.15322	101.704	16.3558	109.685	200
107	1.15351	101.581	16.2472	109.632	200
108	1.15375	101.787	16.1366	109.58	200
109	1.15468	101.754	16.0273	109.529	200
110	1.15539	102.149	15.9135	109.48	200
