time	pps	kbps
0.100108	0	0
0.200226	1	35.232
0.300311	2	70.464
0.400387	4	140.928
0.500508	8	281.856
0.600629	14	493.248
0.700694	10	352.32
0.800788	27	951.264
0.900909	10	352.32
1.00103	31	1092.19
1.10109	18	634.176
1.20116	19	669.408
1.30119	21	739.872
1.40124	4	140.928
1.50128	19	669.408
1.60135	22	775.104
1.70147	22	775.104
1.80153	23	810.336
1.90159	7	246.624
2.0017	16	563.712
2.10182	22	775.104
2.20193	14	493.248
2.30198	23	810.336
2.40206	22	775.104
2.50218	23	810.336
2.60228	10	352.32
2.70239	23	810.336
2.80244	21	739.872
2.90249	17	598.944
3.00256	22	775.104
3.10265	12	422.784
3.20275	23	810.336
3.3029	23	810.336
3.40311	17	598.944
3.50318	6	211.392
3.60325	23	810.336
3.70334	6	211.392
3.80346	9	317.088
3.90356	11	387.552
4.00363	19	669.408
4.10366	10	352.32
4.20373	10	352.32
4.3038	19	669.408
4.40387	16	563.712
4.50395	15	528.48
4.60407	16	563.712
4.7042	13	458.016
4.80433	16	563.712
4.90445	7	246.624
5.00457	17	598.944
5.10469	17	598.944
5.20479	17	598.944
5.30487	8	281.856
5.40495	9	317.088
5.505	17	598.944
5.60508	17	598.944
5.70516	17	598.944
5.80524	17	598.944
5.90537	17	598.944
6.00545	17	598.944
6.10556	0	0
6.20565	17	598.944
6.30577	0	0
6.40587	17	598.944
6.50597	3	105.696
6.60604	17	598.944
6.70615	2	70.464
6.80628	7	246.624
6.90634	7	246.624
7.00646	12	422.784
7.10654	14	493.248
7.20666	10	352.32
7.30682	7	246.624
7.40694	17	598.944
7.50707	14	493.248
7.60719	4	140.928
7.70731	22	775.104
7.80739	10	352.32
7.9075	8	281.856
8.00762	11	387.552
8.10774	5	176.16
8.2078	6	211.392
8.30785	3	105.696
8.40792	12	422.784
8.50804	16	563.712
8.60813	5	176.16
8.70825	16	563.712
8.80834	9	317.088
8.90846	16	563.712
9.00858	14	493.248
9.10869	6	211.392
9.20876	16	563.712
9.30887	11	387.552
9.40895	11	387.552
9.50901	12	422.784
9.60909	15	528.48
9.70915	2	70.464
9.80927	16	563.712
9.90939	16	563.712
10.0095	14	493.248
10.1095	11	387.552
10.2096	10	352.32
10.3097	7	246.624
10.4098	13	458.016
10.5099	7	246.624
10.61	14	493.248
10.7101	11	387.552
10.8101	16	563.712
10.9102	16	563.712
11.0103	11	387.552
11.1104	33	1162.66
11.2114	39	1374.05
11.3115	4	140.928
11.4116	0	0
11.5117	0	0
11.6118	0	0
11.7119	14	493.248
11.812	28	986.496
11.9121	22	775.104
12.0122	13	458.016
12.1123	26	916.032
12.2125	27	951.264
12.3125	28	986.496
12.4126	24	845.568
12.5127	17	598.944
12.6128	29	1021.73
12.7129	29	1021.73
12.8129	4	140.928
12.913	12	422.784
13.0131	0	0
13.1132	0	0
13.2133	14	493.248
13.3134	15	528.48
13.4135	14	493.248
13.5137	14	493.248
13.6138	14	493.248
13.7139	14	493.248
13.814	10	352.32
13.9141	8	281.856
14.0142	3	105.696
14.1144	0	0
14.2145	0	0
14.3146	0	0
14.4147	0	0
14.5148	14	493.248
14.6149	0	0
14.715	0	0
14.8151	14	493.248
14.9152	5	176.16
15.0153	10	352.32
15.1153	19	669.408
15.2154	11	387.552
15.3155	0	0
15.4156	0	0
15.5157	16	563.712
15.6157	0	0
15.7158	0	0
15.8159	35	1233.12
15.916	8	281.856
16.0161	41	1444.51
16.1162	48	1691.14
16.2162	5	176.16
16.3163	1	35.232
16.4164	0	0
16.5164	23	810.336
16.6165	15	528.48
16.7169	16	563.712
16.817	34	1197.89
16.9171	0	0
17.0172	22	775.104
17.1173	18	634.176
17.2174	0	0
17.3175	0	0
17.4176	0	0
17.5177	0	0
17.6178	27	951.264
17.7179	30	1056.96
17.818	7	246.624
17.9181	45	1585.44
18.0182	33	1162.66
18.1182	2	70.464
18.2183	47	1655.9
18.3183	65	2290.08
18.4184	63	2219.62
18.5185	37	1303.58
18.6186	0	0
18.7187	0	0
18.8188	0	0
18.9189	0	0
19.019	0	0
19.1192	92	3241.34
19.2192	48	1691.14
19.3193	2	70.464
19.4194	117	4122.14
19.5195	76	2677.63
19.6196	0	0
19.7197	0	0
19.8199	3	105.696
19.9204	30	1056.96
20.0204	70	2466.24
20.1205	13	458.016
20.2207	24	845.568
20.3208	15	528.48
20.4209	0	0
20.521	6	211.392
20.6211	21	739.872
20.7212	0	0
20.8213	0	0
20.9213	60	2113.92
21.0214	3	105.696
21.1215	2	70.464
21.2216	0	0
