segment	time	rtt	rttvar	srtt	rto
0	0.102138	101.88	50.9399	101.88	305.639
1	0.204575	102.166	38.2764	101.916	255.021
2	0.205118	102.655	28.8923	102.008	217.577
3	0.307048	102.205	25.3053	102.02	203.242
4	0.307348	102.429	22.1933	102.046	200
5	0.30761	102.333	20.3678	102.058	200
6	0.308178	102.818	18.7338	102.089	200
7	0.413743	106.514	17.8394	102.228	200
8	0.414058	106.801	17.0103	102.371	200
9	0.414758	107.284	16.4054	102.493	200
10	0.415107	107.579	15.8395	102.621	200
11	0.415376	107.642	15.3887	102.725	200
12	0.415957	108.175	14.9746	102.839	200
13	0.416549	108.222	14.632	102.935	200
14	0.417101	108.743	14.2644	103.056	200
15	0.534293	120.326	14.3717	103.364	200
16	0.534927	120.852	14.483	103.677	200
17	0.54366	129.424	14.835	104.079	200
18	0.543963	129.71	15.1724	104.479	200
19	0.544497	129.541	15.4471	104.827	200
20	0.545208	130.209	15.723	105.18	200
21	0.545681	130.451	15.9882	105.531	200
22	0.546119	130.834	16.2211	105.847	200
23	0.546447	130.948	16.4431	106.161	200
24	0.54724	131.675	16.6493	106.451	200
25	0.547723	131.631	16.8432	106.737	200
26	0.548094	131.938	17.0331	107.023	200
27	0.548384	131.151	17.1809	107.275	200
28	0.548915	131.628	17.3303	107.528	200
29	0.636877	102.25	17.0793	107.473	200
30	0.637403	102.725	16.8421	107.428	200
31	0.637835	102.687	16.6094	107.382	200
32	0.638571	103.349	16.3676	107.343	200
33	0.646539	102.697	16.1422	107.299	200
34	0.646892	103.026	15.9302	107.261	200
35	0.647737	103.653	15.7102	107.228	200
36	0.695548	151.334	16.2172	107.622	200
37	0.699056	154.403	16.7266	108.012	200
38	0.699969	155.275	17.2356	108.406	200
39	0.710276	164.85	17.889	108.876	200
40	0.710972	165.113	18.5282	109.345	200
41	0.718743	172.836	19.2307	109.841	200
42	0.719281	173.009	19.9172	110.334	200
43	0.720477	174.162	20.6033	110.833	200
44	0.721042	174.456	21.2755	111.33	200
45	0.721836	175.192	21.9018	111.8	200
46	0.722497	175.114	22.5108	112.265	202.308
47	0.728676	180.744	23.1868	112.769	205.516
48	0.729333	181.421	23.8554	113.274	208.695
49	0.730157	181.921	24.4775	113.75	211.66
50	0.730873	182.585	25.0936	114.228	214.603
51	0.731362	182.862	25.6983	114.705	217.498
52	0.732035	182.992	26.2898	115.179	220.338
53	0.745007	195.841	27.045	115.739	223.919
54	0.747556	110.432	26.759	115.704	222.74
55	0.747832	110.66	26.4733	115.671	221.564
56	0.748092	110.482	26.1932	115.637	220.41
57	0.748537	110.542	25.9156	115.604	219.266
58	0.748937	110.893	25.6366	115.573	218.119
59	0.749248	110.486	25.3797	115.541	217.06
60	0.749444	102.758	25.2222	115.461	216.35
61	0.756843	110.061	24.9745	115.427	215.325
62	0.769684	122.621	24.7522	115.472	214.481
63	0.778446	131.348	24.6413	115.571	214.136
64	0.792639	144.697	24.6946	115.745	214.523
65	0.797103	101.367	24.5718	115.659	213.946
66	0.821373	125.496	24.3964	115.718	213.303
67	0.856569	157.32	24.6012	115.965	214.37
68	0.858516	158.395	24.8135	116.218	215.472
69	0.859484	159.311	25.0212	116.463	216.548
70	0.86028	149.777	25.1154	116.652	217.114
71	0.867915	156.764	25.2859	116.88	218.023
