time	cwndsize
0.115653	2
0.223203	3
0.229574	4
0.339806	5
0.340192	6
0.370764	7
0.371218	8
0.442507	9
0.488447	10
0.488894	11
0.525063	12
0.52546	13
0.553217	14
0.571248	15
0.591635	16
0.608276	17
0.64657	18
0.660894	19
0.661299	20
0.672701	21
0.673029	22
0.673207	23
0.696602	24
0.755708	25
0.756085	26
0.756807	27
0.796906	13.5
0.799548	13.5769
0.841443	13.6538
0.841718	13.7308
0.841916	13.8077
0.842048	13.8846
0.858547	13.9615
0.869457	14.0385
0.869697	14.1099
0.905333	14.1813
0.920116	14.2527
0.920365	14.3242
0.955698	14.3956
0.963029	14.467
0.993699	14.5385
1.00428	14.6099
1.03525	14.6813
1.03553	14.7527
1.03568	14.8242
1.03582	14.8956
1.03617	14.967
1.05883	15.0385
1.05926	15.1051
1.08525	15.1718
1.08537	15.2385
1.08546	15.3051
1.08556	15.3718
1.08588	15.4385
1.09537	15.5051
1.13538	15.5718
1.13705	15.6385
1.13727	15.7051
1.1374	15.7718
1.15965	15.8385
1.16003	15.9051
1.17289	15.9718
1.17317	16.0385
1.17338	16.101
1.1871	16.1635
1.18743	16.226
1.22383	16.2885
1.2359	16.351
1.23623	16.4135
1.2364	16.476
1.24837	16.5385
1.24869	16.601
1.24889	16.6635
1.27334	16.726
1.301	16.7885
1.31191	16.851
1.32189	16.9135
1.33064	16.976
1.34494	17.0385
1.34529	17.0973
1.34545	17.1561
1.34558	17.2149
1.37007	17.2738
1.37074	17.3326
1.37138	17.3914
1.37196	17.4502
1.37255	17.509
1.37312	17.5679
1.37375	17.6267
1.38025	17.6855
1.40274	17.7443
1.41344	17.8032
1.42374	17.862
1.44734	17.9208
1.44763	17.9796
1.44779	18.0385
1.44797	18.094
1.45967	18.1496
1.46	18.2051
1.4954	18.2607
1.51311	18.3162
1.5415	18.3718
1.56819	18.4274
1.58237	18.4829
1.60409	18.5385
1.60439	18.594
1.62101	18.6496
1.62133	18.7051
1.66552	18.7607
1.70443	9.38034
1.73683	9.49145
1.73705	9.60256
1.73721	9.71368
1.75089	9.82479
1.75118	9.9359
1.75134	10.047
1.77134	10.147
1.77156	10.247
1.77176	10.347
1.77188	10.447
1.77239	10.547
1.78477	10.647
1.78497	10.747
1.78511	10.847
1.78526	10.947
1.78574	11.047
1.78595	11.1379
1.78608	11.2288
1.8734	11.3197
1.87384	11.4106
1.90839	11.5016
1.93538	11.5925
1.96074	11.6834
2.03912	11.7743
2.03998	11.8652
2.06437	11.9561
2.06505	12.047
2.06542	12.1303
2.06583	12.2137
2.06616	12.297
2.07359	12.3803
2.08579	12.4637
2.08612	12.547
2.0863	12.6303
2.15148	12.7137
2.15172	12.797
2.16615	12.8803
2.20148	12.9637
2.20181	13.047
2.23912	13.1239
2.23921	13.2009
2.23936	13.2778
2.23946	13.3547
2.23965	13.4316
2.24308	13.5085
2.24314	13.5855
2.27159	13.6624
2.28685	13.7393
2.28709	13.8162
2.3032	13.8932
2.30352	13.9701
2.3168	14.047
2.34035	14.1184
2.36593	14.1899
2.36626	14.2613
2.39339	14.3327
2.39374	14.4042
2.39393	14.4756
2.39406	14.547
2.3944	14.6184
2.4106	14.6899
2.41098	14.7613
2.42245	14.8327
2.42276	14.9042
2.42297	14.9756
2.43577	15.047
2.4418	15.1137
2.4677	15.1803
2.48377	15.247
2.56762	15.3137
2.56819	15.3803
2.57563	15.447
2.58653	15.5137
2.58666	15.5803
2.58671	15.647
2.58676	15.7137
2.58714	15.7803
2.58733	15.847
2.59499	15.9137
2.59533	15.9803
2.5958	16.047
2.59609	16.1095
2.60746	16.172
2.60779	16.2345
2.66933	16.297
2.69708	16.3595
2.69735	16.422
2.69749	16.4845
2.69763	16.547
2.69812	16.6095
2.71578	16.672
2.75818	16.7345
2.81332	16.797
2.81364	16.8595
2.8403	16.922
2.84065	16.9845
2.85936	17.047
2.85972	17.1058
2.85987	17.1647
2.86004	17.2235
2.87868	17.2823
2.879	17.3411
2.87916	17.3999
2.87929	17.4588
2.92102	17.5176
2.92864	17.5764
2.94659	17.6352
2.94698	17.6941
2.97715	17.7529
2.97748	17.8117
2.99028	17.8705
2.99061	17.9294
3.00889	17.9882
3.027	18.047
3.05635	18.1026
3.08346	18.1581
3.09829	18.2137
3.14125	18.2692
3.14155	18.3248
3.14171	18.3803
3.15143	18.4359
3.15172	18.4915
3.15188	18.547
3.15201	18.6026
3.2276	18.6581
3.22788	18.7137
3.22901	18.7692
3.22999	18.8248
3.23034	18.8803
3.23084	18.9359
3.23115	18.9915
3.25594	19.047
3.25632	19.0996
3.32005	19.1523
3.32035	19.2049
3.32053	19.2575
3.32096	19.3102
3.32114	19.3628
3.32128	19.4154
3.32166	19.4681
3.32184	19.5207
3.3316	19.5733
3.33188	19.626
3.34731	19.6786
3.38448	19.7312
3.39924	19.7839
3.41332	19.8365
3.41362	19.8891
3.42478	19.9417
3.44444	19.9944
3.49594	20.047
3.4963	20.097
3.49646	20.147
3.49659	20.197
3.51666	20.247
3.51698	20.297
3.51715	20.347
3.51728	20.397
3.5407	20.447
3.54103	20.497
3.54121	20.547
3.54135	20.597
3.58019	20.647
3.58051	20.697
3.5807	20.747
3.58083	20.797
3.58116	20.847
3.59149	20.897
3.59183	20.947
3.61495	20.997
3.61534	21.047
3.67179	21.0946
3.67212	21.1422
3.71845	21.1899
3.7188	21.2375
3.73442	21.2851
3.73503	21.3327
3.73568	21.3803
3.75526	21.428
3.7556	21.4756
3.77377	21.5232
3.77406	21.5708
3.77422	21.6184
3.77463	21.6661
3.77481	21.7137
3.775	21.7613
3.80203	21.8089
3.80236	21.8565
3.82252	21.9042
3.82285	21.9518
3.82309	21.9994
3.82353	22.047
3.82376	22.0925
3.82391	22.1379
3.8242	22.1834
3.82438	22.2288
3.83963	22.2743
3.87634	22.3197
3.88946	22.3652
3.88979	22.4106
3.89797	22.4561
3.89831	22.5016
3.89849	22.547
3.89894	22.5925
3.89912	22.6379
