time	pps	kbps
0.100065	0	0
0.200136	1	35.232
0.300196	2	70.464
0.400259	4	140.928
0.500325	8	281.856
0.600413	16	563.712
0.700477	32	1127.42
0.800528	64	2254.85
0.900563	128	4509.7
1.0006	179	6306.53
1.10063	0	0
1.20067	98	3452.74
1.30107	21	739.872
1.40123	211	7433.95
1.50126	203	7152.1
1.6014	177	6236.06
1.7015	89	3135.65
1.80153	88	3100.42
1.90156	88	3100.42
2.00159	33	1162.66
2.10163	97	3417.5
2.20168	58	2043.46
2.30171	40	1409.28
2.40175	19	669.408
2.5018	60	2113.92
2.60183	61	2149.15
2.70186	43	1514.98
2.8019	19	669.408
2.90194	63	2219.62
3.00197	64	2254.85
3.10201	22	775.104
3.20205	43	1514.98
3.30208	66	2325.31
3.40213	63	2219.62
3.50236	9	317.088
3.6024	63	2219.62
3.70245	69	2431.01
3.80258	27	951.264
3.90262	43	1514.98
4.00267	71	2501.47
4.10271	53	1867.3
4.20274	19	669.408
4.30279	73	2571.94
4.40283	72	2536.7
4.50286	5	176.16
4.6029	72	2536.7
4.70296	76	2677.63
4.803	77	2712.86
4.90316	78	2748.1
5.00326	79	2783.33
5.10338	80	2818.56
5.20346	81	2853.79
5.30349	82	2889.02
5.40359	83	2924.26
5.50364	84	2959.49
5.60368	85	2994.72
5.70371	86	3029.95
5.80375	87	3065.18
5.90381	88	3100.42
6.00386	86	3029.95
6.1039	89	3135.65
6.20402	82	2889.02
6.30424	71	2501.47
6.40443	85	2994.72
6.5045	85	2994.72
6.60453	81	2853.79
6.70457	95	3347.04
6.80461	96	3382.27
6.90466	97	3417.5
7.0047	98	3452.74
7.10474	99	3487.97
7.20478	100	3523.2
7.30483	101	3558.43
7.40486	101	3558.43
7.50489	84	2959.49
7.60493	91	3206.11
7.70496	104	3664.13
7.8051	58	2043.46
7.90513	82	2889.02
8.00518	106	3734.59
8.10522	76	2677.63
8.20525	63	2219.62
8.30529	79	2783.33
8.40533	90	3170.88
8.50536	97	3417.5
8.60541	34	1197.89
8.70544	111	3910.75
8.80547	80	2818.56
8.90551	34	1197.89
9.00554	89	3135.65
9.10559	64	2254.85
9.20563	74	2607.17
9.30568	86	3029.95
9.40578	60	2113.92
9.5059	61	2149.15
9.60602	62	2184.38
9.70606	63	2219.62
9.8061	64	2254.85
9.9062	65	2290.08
10.0062	66	2325.31
10.1064	67	2360.54
10.2064	47	1655.9
10.3065	54	1902.53
10.4065	67	2360.54
10.5065	65	2290.08
10.6066	68	2395.78
10.7066	60	2113.92
10.8067	70	2466.24
10.9067	70	2466.24
11.007	74	2607.17
11.1071	74	2607.17
11.2071	77	2712.86
11.3072	78	2748.1
11.4073	79	2783.33
11.5073	80	2818.56
11.6074	81	2853.79
11.7075	82	2889.02
11.8076	83	2924.26
11.9076	84	2959.49
12.0077	85	2994.72
12.1077	85	2994.72
12.2078	87	3065.18
12.3078	88	3100.42
12.4079	89	3135.65
12.5079	90	3170.88
12.608	91	3206.11
12.7081	92	3241.34
12.8081	93	3276.58
12.9082	94	3311.81
13.0082	95	3347.04
13.1083	96	3382.27
13.2084	97	3417.5
13.3084	98	3452.74
13.4085	99	3487.97
13.5086	100	3523.2
13.6086	97	3417.5
13.7087	99	3487.97
13.8087	101	3558.43
13.9088	99	3487.97
14.0088	95	3347.04
14.1088	103	3628.9
14.2089	102	3593.66
14.3089	103	3628.9
14.4089	105	3699.36
14.509	107	3769.82
14.609	107	3769.82
14.7092	110	3875.52
14.8092	110	3875.52
14.9093	111	3910.75
15.0093	113	3981.22
15.1094	114	4016.45
15.2096	115	4051.68
15.3096	115	4051.68
