time	pps	kbps
0.100099	0	0
0.200168	1	35.232
0.300231	2	70.464
0.40029	4	140.928
0.500349	8	281.856
0.600437	16	563.712
0.700541	32	1127.42
0.800599	64	2254.85
0.900664	128	4509.7
1.00071	256	9019.39
1.10106	331	11661.8
1.20139	228	8032.9
1.30609	362	12754
1.40659	190	6694.08
1.50694	315	11098.1
1.6072	250	8808
1.70742	332	11697
1.80746	175	6165.6
1.90795	352	12401.7
2.00809	331	11661.8
2.10821	267	9406.94
2.2084	314	11062.8
2.30843	392	13810.9
2.40853	323	11379.9
2.50873	301	10604.8
2.60905	300	10569.6
2.7094	389	13705.2
2.80955	318	11203.8
2.90963	297	10463.9
3.00965	308	10851.5
3.10969	380	13388.2
3.20971	306	10781
3.3099	299	10534.4
3.40993	357	12577.8
3.51036	345	12155
3.6104	298	10499.1
3.71044	297	10463.9
3.81047	389	13705.2
3.91048	306	10781
4.01068	288	10146.8
4.11086	383	13493.9
4.21091	308	10851.5
4.31092	291	10252.5
4.41095	339	11943.6
4.51108	354	12472.1
4.61115	282	9935.42
