time	pps	kbps
0.100062	0	0
0.200131	1	35.232
0.300189	2	70.464
0.400251	4	140.928
0.500311	8	281.856
0.600374	14	493.248
0.700479	25	880.8
0.800543	38	1338.82
0.900652	51	1796.83
1.00071	65	2290.08
1.10075	0	0
1.20078	59	2078.69
1.30081	63	2219.62
1.40084	0	0
1.50087	33	1162.66
1.6009	38	1338.82
1.70093	32	1127.42
1.80095	32	1127.42
1.90099	18	634.176
2.00104	35	1233.12
2.10108	44	1550.21
2.20111	44	1550.21
2.30115	8	281.856
2.40119	37	1303.58
2.50123	45	1585.44
2.60126	45	1585.44
2.70131	8	281.856
2.80136	37	1303.58
2.9014	45	1585.44
3.00144	36	1268.35
3.10147	17	598.944
3.20151	37	1303.58
3.30156	45	1585.44
3.4016	11	387.552
3.50163	34	1197.89
3.60167	45	1585.44
3.7017	45	1585.44
3.80173	8	281.856
3.90177	37	1303.58
4.0018	45	1585.44
4.10185	8	281.856
4.20188	37	1303.58
4.30191	45	1585.44
4.40196	28	986.496
4.502	17	598.944
4.60204	45	1585.44
4.70207	45	1585.44
4.80215	45	1585.44
4.90227	45	1585.44
5.00239	45	1585.44
5.10251	45	1585.44
5.20255	46	1620.67
5.3026	48	1691.14
5.40264	51	1796.83
5.5027	59	2078.69
5.60274	72	2536.7
5.70277	65	2290.08
5.8028	94	3311.81
5.90283	109	3840.29
6.00285	120	4227.84
6.10287	133	4685.86
6.2029	142	5002.94
6.30292	148	5214.34
6.40312	171	6024.67
6.50325	192	6764.54
6.60357	198	6975.94
6.70359	219	7715.81
6.80369	235	8279.52
6.90386	241	8490.91
7.00389	269	9477.41
7.10394	286	10076.4
7.20401	300	10569.6
7.30422	303	10675.3
7.4043	314	11062.8
7.50434	309	10886.7
7.60445	305	10745.8
7.70478	350	12331.2
7.8049	323	11379.9
7.90506	298	10499.1
8.00508	322	11344.7
8.10549	303	10675.3
8.20558	368	12965.4
8.30564	293	10323
8.40603	327	11520.9
8.5064	345	12155
8.60646	319	11239
8.70674	320	11274.2
8.80676	343	12084.6
8.9069	323	11379.9
9.00697	317	11168.5
9.107	362	12754
9.20702	295	10393.4
9.30708	209	7363.49
9.40716	128	4509.7
9.50721	142	5002.94
9.60727	158	5566.66
