segment	time	rtt	rttvar	srtt	rto
1	0.102074	101.868	50.9341	101.868	305.605
2	0.20375	101.525	38.2863	101.825	254.97
3	0.203958	101.729	28.7389	101.813	216.769
4	0.305529	101.647	25.1674	101.803	202.472
5	0.305721	101.825	22.0242	101.804	200
6	0.305882	101.853	20.1929	101.806	200
7	0.306293	102.213	18.544	101.823	200
8	0.407159	101.502	17.4051	101.813	200
9	0.407368	101.701	16.3243	101.81	200
10	0.407817	102.002	15.5177	101.814	200
11	0.40802	102.188	14.7605	101.824	200
12	0.408402	102.426	14.1706	101.836	200
13	0.408622	102.627	13.6131	101.853	200
14	0.408788	102.396	13.1463	101.863	200
15	0.409138	102.696	12.7066	101.877	200
16	0.508733	101.442	12.3231	101.871	200
17	0.508936	101.635	11.9453	101.867	200
18	0.509608	102.146	11.6213	101.871	200
19	0.509814	102.341	11.3115	101.877	200
20	0.509982	102.064	11.0334	101.88	200
21	0.510313	102.346	10.7692	101.886	200
22	0.510803	102.689	10.5427	101.895	200
23	0.511005	102.88	10.3255	101.906	200
24	0.511191	102.695	10.1268	101.914	200
25	0.511462	102.91	9.93658	101.924	200
26	0.511605	102.909	9.76443	101.934	200
27	0.512018	103.293	9.60279	101.947	200
28	0.512213	103.362	9.45657	101.96	200
29	0.512405	103.521	9.31558	101.974	200
30	0.512517	103.289	9.18225	101.984	200
31	0.512986	103.692	9.05768	101.999	200
32	0.610117	101.259	8.92771	101.993	200
33	0.610328	101.469	8.79641	101.989	200
34	0.61064	101.604	8.67272	101.986	200
35	0.610728	101.699	8.5494	101.984	200
36	0.611421	101.705	8.43452	101.982	200
37	0.611849	102.083	8.31878	101.983	200
38	0.612065	102.186	8.212	101.984	200
39	0.612369	102.474	8.1104	101.987	200
40	0.612733	102.661	8.01744	101.991	200
41	0.61303	102.948	7.92918	101.997	200
42	0.613354	102.934	7.84594	102.003	200
43	0.613671	103.213	7.76694	102.01	200
44	0.613964	103.048	7.69048	102.016	200
45	0.614286	103.347	7.61821	102.024	200
46	0.614652	103.529	7.55177	102.032	200
47	0.614813	103.678	7.48757	102.041	200
48	0.615119	103.868	7.4286	102.05	200
49	0.615493	104.218	7.3738	102.062	200
50	0.615671	104.147	7.32092	102.072	200
51	0.615921	104.357	7.27057	102.083	200
52	0.616295	104.621	7.22506	102.096	200
53	0.616482	104.808	7.18167	102.109	200
54	0.616736	104.6	7.13824	102.12	200
55	0.617124	104.947	7.09832	102.133	200
56	0.617374	105.114	7.06155	102.147	200
57	0.617671	105.372	7.02731	102.161	200
58	0.617856	105.402	6.99467	102.175	200
59	0.618151	105.662	6.96444	102.19	200
60	0.618447	105.875	6.93711	102.205	200
61	0.618739	106.165	6.91229	102.222	200
62	0.618824	105.747	6.88498	102.236	200
63	0.61923	106.095	6.86057	102.252	200
64	0.71123	101.016	6.81663	102.247	200
65	0.711413	101.18	6.77171	102.243	200
66	0.711524	101.152	6.72867	102.239	200
67	0.711764	101.363	6.68433	102.235	200
68	0.711916	101.235	6.64253	102.232	200
69	0.712146	101.451	6.59943	102.229	200
70	0.712223	101.466	6.55774	102.226	200
71	0.712462	101.696	6.51469	102.224	200
72	0.712733	101.219	6.47643	102.221	200
73	0.71287	101.319	6.43771	102.217	200
74	0.713117	101.172	6.40128	102.214	200
75	0.713276	101.312	6.36412	102.211	200
76	0.71351	101.359	6.32786	102.208	200
77	0.713664	101.499	6.29089	102.206	200
78	0.713902	101.433	6.25552	102.203	200
79	0.71403	101.541	6.21967	102.201	200
80	0.714272	101.448	6.1855	102.199	200
81	0.714485	101.648	6.15028	102.197	200
82	0.714669	101.566	6.11663	102.195	200
83	0.714951	101.808	6.08169	102.194	200
84	0.715059	101.614	6.04894	102.192	200
85	0.71535	101.889	6.01474	102.191	200
86	0.715454	101.711	5.98256	102.19	200
87	0.715629	101.852	5.94975	102.189	200
88	0.715853	101.804	5.91813	102.188	200
89	0.716005	101.932	5.88596	102.187	200
90	0.716299	101.916	5.85477	102.186	200
91	0.716398	102.012	5.82321	102.186	200
92	0.716697	101.969	5.79274	102.185	200
93	0.716795	102.056	5.76196	102.185	200
94	0.717121	102.269	5.73176	102.185	200
95	0.717222	102.366	5.70223	102.186	200
96	0.717382	102.186	5.67254	102.186	200
97	0.717674	102.451	5.64437	102.186	200
98	0.717774	102.206	5.61567	102.186	200
99	0.718102	102.523	5.58874	102.187	200
100	0.718203	102.493	5.56233	102.188	200
101	0.718529	102.808	5.53762	102.19	200
102	0.718631	102.629	5.51262	102.191	200
103	0.718792	102.764	5.48841	102.192	200
104	0.719114	102.716	5.46455	102.193	200
105	0.719221	102.837	5.44137	102.195	200
106	0.719437	102.917	5.41911	102.197	200
107	0.719623	103.088	5.39775	102.199	200
108	0.719736	102.922	5.37611	102.2	200
109	0.719944	103.106	5.35542	102.202	200
110	0.72007	102.873	5.33412	102.204	200
111	0.720273	103.045	5.3137	102.206	200
112	0.72044	103.026	5.29364	102.208	200
113	0.72061	103.185	5.27437	102.21	200
114	0.720776	103.025	5.25481	102.212	200
115	0.720943	103.183	5.23602	102.214	200
116	0.721113	103.216	5.21777	102.216	200
117	0.721283	103.374	5.20027	102.218	200
118	0.721449	103.224	5.1825	102.221	200
119	0.721617	103.37	5.16541	102.223	200
120	0.721789	103.267	5.14824	102.225	200
121	0.721966	103.416	5.13175	102.228	200
122	0.722135	103.36	5.11536	102.23	200
123	0.722304	103.513	5.09965	102.233	200
124	0.72253	103.675	5.0849	102.236	200
125	0.722637	103.77	5.07059	102.239	200
126	0.722797	103.497	5.05546	102.241	200
127	0.722904	103.582	5.04072	102.244	200
128	0.833174	121.84	5.09758	102.282	200
129	0.833397	122.04	5.15485	102.321	200
130	0.83357	122.118	5.21116	102.359	200
131	0.833756	122.285	5.26776	102.397	200
132	0.833926	122.353	5.3234	102.435	200
133	0.834089	122.51	5.37928	102.473	200
134	0.834278	122.42	5.43364	102.51	200
135	0.834446	122.571	5.48821	102.547	200
136	0.834617	122.658	5.54197	102.584	200
137	0.834823	122.831	5.59603	102.622	200
138	0.83498	122.796	5.64885	102.658	200
139	0.835171	122.979	5.70201	102.695	200
140	0.835261	123.01	5.7542	102.731	200
141	0.835389	123.126	5.80649	102.768	200
142	0.835491	122.951	5.85711	102.803	200
143	0.836027	123.448	5.90918	102.84	200
144	0.836161	123.35	5.95988	102.875	200
145	0.83626	123.441	6.01059	102.911	200
146	0.836358	123.455	6.06037	102.946	200
147	0.836526	123.601	6.11035	102.981	200
148	0.836661	123.472	6.15893	103.016	200
149	0.83683	123.605	6.20768	103.051	200
150	0.836941	123.631	6.25559	103.085	200
151	0.837036	123.718	6.30351	103.12	200
152	0.837153	123.577	6.35007	103.153	200
153	0.83725	123.651	6.39661	103.187	200
154	0.837455	123.748	6.4426	103.22	200
155	0.83763	123.919	6.48889	103.254	200
156	0.837739	123.773	6.53385	103.287	200
157	0.837833	123.859	6.57885	103.32	200
158	0.837924	123.862	6.62304	103.352	200
